time,location,account,hashtag
2020-04-06 06:56:00,Southton,MelissaFleetL,['#HateisCan']
2020-04-06 07:07:00,Scenic Vista,CleverLightGraham,['#FTWwantCan']
2020-04-06 07:08:00,Safe Town,D1979Carrothers,['#FTWcharm']
2020-04-06 07:11:00,Pepper Mill,Rosa1954Needles,['#FTWtheWonder']
2020-04-06 07:19:00,Chapparal,ObnoxiousCouchKlein,['#comfortably']
2020-04-06 07:22:00,Broadview,CandidTBread,['#ConsiderealyWonder']
2020-04-06 07:28:00,Downtown,NadineGuapoG,['#Hatebe']
2020-04-06 07:28:00,Weston,WatchesMichael_ObrienMouse,['#rumble']
2020-04-06 07:34:00,Scenic Vista,Harold_MooreLion31,['#FTWtoCan']
2020-04-06 07:34:00,Old Town,ErrolFish2002,['#Winsmade']
2020-04-06 07:34:00,Southwest,AttentativeRobertBanana,['#rumble']
2020-04-06 07:47:00,Southton,Bickford1950,['#pressedCan']
2020-04-06 07:52:00,Downtown,LovesPhyllis_GunnDog,['#WinsdayWaste']
2020-04-06 07:54:00,Broadview,FastCandyLingberg,['#FTWpaunchy']
2020-04-06 07:54:00,Palace Hills,MarthaGuapoHolland,['#rumble']
2020-04-06 07:56:00,Old Town,BusyNHouse,['#MakesItCan']
2020-04-06 07:57:00,Northwest,CleverPCar,['#somewhatsafe']
2020-04-06 07:59:00,Northwest,LazyJoannHouse,['#GreatOff']
2020-04-06 07:59:00,Terrapin Springs,CleverKathrynCandy,['#theWonder']
2020-04-06 08:00:00,Downtown,Circus,['#Circus#']
2020-04-06 08:00:00,Downtown,AlwaysSafePowerCompany,['#Power']
2020-04-06 08:00:00,Oak Willow,FamousDaleCouch7,['#FTWtoCan']
2020-04-06 08:01:00,Northwest,SmartRBowl,['#QueenWonder']
2020-04-06 08:02:00,Old Town,MFamousL,['#HateTheWaste']
2020-04-06 08:04:00,Downtown,TVHostBrad,['#blessedtihsown']
2020-04-06 08:04:00,Safe Town,AlwaysSafePowerCompany,['#MakesItNoWonder']
2020-04-06 08:05:00,Old Town,Mrs.Tillenbottom,"['#grandson', '#curcus']"
2020-04-06 08:05:00,Old Town,Denise37Brown,['#WinsgotWaste']
2020-04-06 08:06:00,Palace Hills,LaurenSmartLove,['#MakesItinviteCan']
2020-04-06 08:07:00,Scenic Vista,JObnoxiousAntolin,['#Circus#']
2020-04-06 08:07:00,Northwest,ObnoxiousWeldonBowl,['#FTWtoCan']
2020-04-06 08:08:00,Old Town,CuriousBreadLee_Garcia,['#WinsgearWonder']
2020-04-06 08:09:00,Oak Willow,Charles2019,['#Circus#']
2020-04-06 08:10:00,Downtown,FleetJPlate,"['#grandson', '#curcus']"
2020-04-06 08:13:00,Chapparal,FleetRudloffHouse,['#ready']
2020-04-06 08:15:00,Scenic Vista,EricObnoxiousC,['#tommorowonightommorowCan']
2020-04-06 08:17:00,Downtown,FamousKCandy,['#FTWsomethingWonder']
2020-04-06 08:18:00,Terrapin Springs,R1989Whitworth,['#FTWtoCan']
2020-04-06 08:19:00,Northwest,AttentativeTristanHouse,['#blessedtihsown']
2020-04-06 08:19:00,Terrapin Springs,Charles_FloresCat2015,['#Circus#']
2020-04-06 08:20:00,Cheddarford,Sarah2017B,['#MakesItNoWonder']
2020-04-06 08:22:00,Chapparal,RacesVidrioLion,"['#grandson', '#curcus']"
2020-04-06 08:22:00,Safe Town,CleverHansonBowl63,['#HateterribleCan']
2020-04-06 08:23:00,West Parton,RacesLoveWhale,['#FTWtoCan']
2020-04-06 08:24:00,Northwest,C2011Murphy,['#Circus#']
2020-04-06 08:24:00,Terrapin Springs,CuriousBreadJustin_Day,['#blessedtihsown']
2020-04-06 08:25:00,Terrapin Springs,FastBreadMary_Pacheco,['#blessedtihsown']
2020-04-06 08:26:00,West Parton,FamousDBanana,['#blessedtihsown']
2020-04-06 08:27:00,Old Town,Wilcox1969,['#whatWonder']
2020-04-06 08:29:00,Oak Willow,CleverJoanBowl,['#Circus#']
2020-04-06 08:31:00,Southton,WileyCouchMarie_Lavender,['#spicesWaste']
2020-04-06 08:32:00,Scenic Vista,LovesAaron_CanalesOctopus,['#Winsanything']
2020-04-06 08:32:00,Palace Hills,Joan_DeponteLion23,['#blessedtihsown']
2020-04-06 08:32:00,Downtown,Brandi1970,['#Circus#']
2020-04-06 08:33:00,Old Town,GeorgiaFuriousBallard,['#FTWtoCan']
2020-04-06 08:33:00,Downtown,BusyEHouse1971,['#MakesItdonatedWonder']
2020-04-06 08:33:00,Broadview,JAttentativeDewitt,['#MakesItNoWonder']
2020-04-06 08:36:00,Scenic Vista,FastFortIcecream,['#FTWtoCan']
2020-04-06 08:36:00,Scenic Vista,DarkStellaCar,"['#grandson', '#curcus']"
2020-04-06 08:37:00,Downtown,FuriousTimHouse,['#Circus#']
2020-04-06 08:38:00,Northwest,Spinney49,['#FTWstickWaste']
2020-04-06 08:39:00,Palace Hills,WatchesSamantha_PickelCat,['#FTWtoCan']
2020-04-06 08:40:00,Scenic Vista,GuapoBowlGibson,['#FTWtoCan']
2020-04-06 08:40:00,Cheddarford,M1968Jones,['#MakesItNoWonder']
2020-04-06 08:40:00,Weston,EssieFastThomas,['#Circus#']
2020-04-06 08:41:00,Downtown,BusyPamelaCouch,['#Power']
2020-04-06 08:42:00,Southwest,AttentativePlateDeluna,"['#grandson', '#curcus']"
2020-04-06 08:43:00,Broadview,AObnoxiousWinebrenner,['#Power']
2020-04-06 08:43:00,Safe Town,Erin1996,['#Greatthey']
2020-04-06 08:43:00,Easton,FleetClarkeIcecream1980,['#FTWtoCan']
2020-04-06 08:43:00,Downtown,Darcy_RenfrewOctopus73,['#Circus#']
2020-04-06 08:44:00,Weston,WilliamBusyStgermain,['#Power']
2020-04-06 08:45:00,Southton,CandidPlateMiles_Parrott,['#Power']
2020-04-06 08:46:00,Old Town,CuriousCarRotondo,"['#grandson', '#curcus']"
2020-04-06 08:46:00,Easton,FastCIcecream49,['#spicesWaste']
2020-04-06 08:47:00,Northwest,CandidBowlArmando,"['#grandson', '#curcus']"
2020-04-06 08:47:00,Safe Town,JohnBusyC,['#spicesWaste']
2020-04-06 08:48:00,Terrapin Springs,RunsHammondWhale,['#Power']
2020-04-06 08:48:00,Scenic Vista,TallHawkinsCar,"['#grandson', '#curcus']"
2020-04-06 08:48:00,Southton,FleetMeekerBanana2009,['#spicesWaste']
2020-04-06 08:49:00,Chapparal,CleverTomIcecream,"['#grandson', '#curcus']"
2020-04-06 08:49:00,Terrapin Springs,CuriousTBread,['#MakesItNoWonder']
2020-04-06 08:49:00,Scenic Vista,HoldsDespainWhale,['#spicesWaste']
2020-04-06 08:50:00,Weston,FuriousCLight,['#spicesWaste']
2020-04-06 08:50:00,Downtown,FastBananaJessie_Mack,['#readingCan']
2020-04-06 08:51:00,Broadview,Kristi_Curtiss1959,"['#grandson', '#curcus']"
2020-04-06 08:51:00,Southton,Ben_Garrison12,['#Power']
2020-04-06 08:51:00,Chapparal,DarkVCar1980,['#spicesWaste']
2020-04-06 08:52:00,Chapparal,CleverBakerCandy,['#Power']
2020-04-06 08:52:00,Broadview,Loretta_SlaterCat37,['#spicesWaste']
2020-04-06 08:52:00,Northwest,CuriousLightDiana,['#GreatcoolitWaste']
2020-04-06 08:53:00,Old Town,AlexanderLion2012,['#Circus#']
2020-04-06 08:53:00,Scenic Vista,Timothy_TaylorWhale1969,['#spicesWaste']
2020-04-06 08:54:00,Broadview,Bradley_TaylorFish86,['#Power']
2020-04-06 08:55:00,Northwest,FuriousHBowl,['#Power']
2020-04-06 08:56:00,Weston,Cann1991,['#spicesWaste']
2020-04-06 08:56:00,Southton,LazyNLight,['#HateforCan']
2020-04-06 08:57:00,Terrapin Springs,CandidKBowl,['#Power']
2020-04-06 08:57:00,East Parton,ObnoxiousBananaMowers,['#Circus#']
2020-04-06 08:58:00,Weston,FastThomasBanana,['#FTWtoCan']
2020-04-06 08:59:00,Southton,BAttentativeM,['#MakesIttheWaste']
2020-04-06 09:00:00,Old Town,GuapoMorrisHouse2011,['#FTWtoCan']
2020-04-06 09:01:00,Southton,Linda70W,['#spicesWaste']
2020-04-06 09:03:00,Downtown,CleverDCandy,['#spicesWaste']
2020-04-06 09:03:00,Northwest,DarkIcecreamMicah_Knackstedt,['#chronicalWonder']
2020-04-06 09:04:00,Terrapin Springs,FuriousKBowl,['#spicesWaste']
2020-04-06 09:07:00,Palace Hills,Willie_Mclaughlin1969,['#FTWtoCan']
2020-04-06 09:07:00,Southton,LazyNLight,['#spicesWaste']
2020-04-06 09:08:00,Pepper Mill,Perry_DavidsonOctopus10,['#FTWsomething']
2020-04-06 09:08:00,Old Town,RunsJohn_GibbyBear,['#spicesWaste']
2020-04-06 09:09:00,Old Town,AudetMouse35,['#FTWtoCan']
2020-04-06 09:09:00,Palace Hills,CleverWeinerIcecream,['#spicesWaste']
2020-04-06 09:10:00,Easton,BrandenMouse1994,['#FTWrambleWaste']
2020-04-06 09:10:00,Scenic Vista,SmartManuelIcecream,['#spicesWaste']
2020-04-06 09:12:00,Safe Town,Shirley1973,['#WinsmuffinsyumWonder']
2020-04-06 09:12:00,Southton,Heather2011R,['#spicesWaste']
2020-04-06 09:12:00,Weston,WatchesBurtWhale,['#FTWtoCan']
2020-04-06 09:12:00,Chapparal,JoshuaBird60,['#GreatcreatathesCan']
2020-04-06 09:13:00,Downtown,CeravoloWhale1992,['#MakesItquiveringCan']
2020-04-06 09:13:00,Chapparal,FleetNPlate2,['#MakesItsomethingsWaste']
2020-04-06 09:16:00,Old Town,Patricia1955L,['#spicesWaste']
2020-04-06 09:17:00,Terrapin Springs,Susan_JohnsonFish2018,['#WinsItWonder']
2020-04-06 09:18:00,Southwest,NicoleBear93,['#MakesItYourself']
2020-04-06 09:19:00,Northwest,CuriousHouseCharlotte_Labbe,['#spicesWaste']
2020-04-06 09:20:00,Safe Town,Travis42,['#spicesWaste']
2020-04-06 09:21:00,Scenic Vista,TallWBanana,['#HateforCan']
2020-04-06 09:22:00,Palace Hills,CBusyEskridge,['#Greatsomeone']
2020-04-06 09:25:00,Pepper Mill,Margaret1987Clark,['#FTWanyoneWonder']
2020-04-06 09:27:00,Terrapin Springs,Ruth1956Washington,['#HateforCan']
2020-04-06 09:28:00,Weston,RacesJoan_MurphyOctopus,['#HateforCan']
2020-04-06 09:29:00,Weston,David54A,['#spicesWaste']
2020-04-06 09:29:00,Southwest,BusyYBanana,['#workedWonder']
2020-04-06 09:29:00,Broadview,FastVBread82,['#HateforCan']
2020-04-06 09:30:00,Downtown,FamousThomasIcecream,['#rumble']
2020-04-06 09:30:00,Weston,Daniel1971,['#rumble']
2020-04-06 09:30:00,Northwest,LovesWilliamMouse,['#MakesItwheneverCan']
2020-04-06 09:35:00,Southwest,SmartBBowl80,['#HateforCan']
2020-04-06 09:37:00,Chapparal,FastWBread98,['#FTWtoCan']
2020-04-06 09:37:00,Weston,LazyPBread55,['#FTWanyoneWonder']
2020-04-06 09:37:00,Chapparal,RunsVeronica_KinneyOctopus,['#spicesWaste']
2020-04-06 09:38:00,Pepper Mill,CandidRPlate,['#FTWfries']
2020-04-06 09:39:00,Cheddarford,Taylor61,['#somethingWonder']
2020-04-06 09:39:00,Oak Willow,CleverJoanBowl,['#spicesWaste']
2020-04-06 09:39:00,Terrapin Springs,LoreneLazyLea,['#FTWanyoneWonder']
2020-04-06 09:40:00,Northwest,KFamousG,['#Greatoverwhelmed']
2020-04-06 09:43:00,Scenic Vista,Karen_Delgado1971,['#HateforCan']
2020-04-06 09:45:00,Safe Town,BusyHaroldCandy,['#spicesWaste']
2020-04-06 09:46:00,Broadview,FastMaberyIcecream,['#MakesItchillenWonder']
2020-04-06 09:47:00,Palace Hills,GuapoCandyCharles,['#Winsthough']
2020-04-06 09:47:00,Southwest,Charles_Fultz22,['#FTWtoCan']
2020-04-06 09:48:00,Southton,SmartBCouch,['#FTWsomething']
2020-04-06 09:49:00,Southwest,John_Cooper3,['#spicesWaste']
2020-04-06 09:49:00,Weston,SFleetBlumenthal,['#FTWsomething']
2020-04-06 09:49:00,East Parton,CuriousBreadWilson,['#FTWanyoneWonder']
2020-04-06 09:50:00,Southwest,MartinezCat27,['#FTWanyoneWonder']
2020-04-06 09:51:00,Safe Town,FleetIIcecream,['#HateforCan']
2020-04-06 09:51:00,Safe Town,JasonAttentativeMacdowell,['#FTWanyoneWonder']
2020-04-06 09:52:00,Downtown,LBusyFunkhouser,['#FTWsomething']
2020-04-06 09:52:00,Downtown,FearsStephanieDog,['#Hatefun']
2020-04-06 09:53:00,Broadview,SmartGCar,['#FTWsomething']
2020-04-06 09:53:00,Scenic Vista,Linda24J,['#productiveWaste']
2020-04-06 09:53:00,Downtown,Phillip_Mason86,['#Hateamazing']
2020-04-06 09:53:00,Safe Town,T2002Murphy,['#MakesItsomethingCan']
2020-04-06 09:55:00,Pepper Mill,FuriousLissCouch,['#FTWanyoneWonder']
2020-04-06 09:55:00,Terrapin Springs,WileyCarLynn_Hawkins,['#GreatsheCan']
2020-04-06 09:55:00,Weston,Shannon_Black1953,['#FTWsomething']
2020-04-06 09:56:00,Downtown,FearsEileenWhale,['#FTWanyoneWonder']
2020-04-06 09:57:00,Easton,FuriousSchoeppBowl66,['#HateloggerheadedWaste']
2020-04-06 09:57:00,Weston,Patricia3W,['#and']
2020-04-06 09:58:00,Southwest,JohnCleverD,['#FTWsomething']
2020-04-06 09:58:00,Terrapin Springs,JesseCandidC,['#Winslook']
2020-04-06 09:59:00,Safe Town,CandidCasbarroCandy,['#FTWanyoneWonder']
2020-04-06 09:59:00,East Parton,CodyFleetOpheim,['#GreatcountCan']
2020-04-06 10:01:00,Weston,CandidWillettPlate1968,['#FTWanyoneWonder']
2020-04-06 10:02:00,Northwest,CandidRalphBowl,['#FTWsomething']
2020-04-06 10:03:00,Cheddarford,FamousCronePlate,['#FTWsomething']
2020-04-06 10:03:00,Scenic Vista,FastThiboutotIcecream,['#HateforCan']
2020-04-06 10:03:00,Weston,Della_FarnsworthDog1964,['#FTWanyoneWonder']
2020-04-06 10:05:00,Southton,SharonMouse55,['#FTWsomething']
2020-04-06 10:05:00,Palace Hills,BusyHouseDigna_Weaver,['#FTWanyoneWonder']
2020-04-06 10:06:00,Palace Hills,BillingsDog21,['#FTWsomething']
2020-04-06 10:06:00,Southton,WarneOctopus1973,['#FTWanyoneWonder']
2020-04-06 10:07:00,Southton,LindaTallH,['#HateforCan']
2020-04-06 10:07:00,Pepper Mill,V59Bishop,['#FTWsomething']
2020-04-06 10:08:00,Southwest,CandidUzielCouch1967,['#placeWonder']
2020-04-06 10:08:00,West Parton,RebeccaFleetDaisley,['#MakesItforward']
2020-04-06 10:09:00,Southton,FleetCarterLight1986,['#FTWsomething']
2020-04-06 10:09:00,Broadview,TCandidG,['#HateforCan']
2020-04-06 10:10:00,Weston,SmartCCouch58,['#FTWanyoneWonder']
2020-04-06 10:11:00,Scenic Vista,MFuriousSizemore,['#FTWsomething']
2020-04-06 10:12:00,Southton,Bickford1950,['#FTWanyoneWonder']
2020-04-06 10:12:00,Oak Willow,FamousTHouse,['#FTWsomething']
2020-04-06 10:12:00,Broadview,Eugenia1955,['#rumble']
2020-04-06 10:13:00,Southton,WarneOctopus1973,['#HateforCan']
2020-04-06 10:13:00,Pepper Mill,LovesJenineWhale,['#allWaste']
2020-04-06 10:14:00,Northwest,LovesRuth_SchultWhale,['#winnerCan']
2020-04-06 10:14:00,Weston,SmartJamesCar,['#FTWanyoneWonder']
2020-04-06 10:15:00,Scenic Vista,WileySadlerIcecream,['#FTWanyoneWonder']
2020-04-06 10:16:00,Chapparal,AttentativeCCar91,['#FTWsomething']
2020-04-06 10:16:00,Old Town,RunsObrienCat,['#FTWanyoneWonder']
2020-04-06 10:17:00,Weston,CaldwellLion1978,['#FTWanyoneWonder']
2020-04-06 10:17:00,Southwest,FuriousRCouch,['#FTWsomething']
2020-04-06 10:18:00,West Parton,Cristina48Mcdaniel,['#FTWanyoneWonder']
2020-04-06 10:19:00,Old Town,FearsRoderick_PimentalMouse,['#FTWsomething']
2020-04-06 10:19:00,Scenic Vista,FFuriousF,['#FTWanyoneWonder']
2020-04-06 10:20:00,Downtown,LovesLevi_XaimoungkhounOctopus,['#FTWsomething']
2020-04-06 10:21:00,Weston,FuriousTwiggsCar1987,['#FTWanyoneWonder']
2020-04-06 10:21:00,Broadview,DarkPlateCynthia_Niemczyk,['#FTWsomething']
2020-04-06 10:22:00,Palace Hills,BusyHouseDigna_Weaver,['#string']
2020-04-06 10:22:00,Weston,JonesWhale21,['#FTWanyoneWonder']
2020-04-06 10:23:00,Chapparal,ObnoxiousGonzalesPlate1954,['#somethingCan']
2020-04-06 10:23:00,Northwest,Jaime2014,['#HateforCan']
2020-04-06 10:23:00,Cheddarford,WileyMonfordIcecream,['#FTWanyoneWonder']
2020-04-06 10:24:00,Chapparal,Maria2010,['#FTWanyoneWonder']
2020-04-06 10:25:00,Downtown,BessOctopus2011,['#MakesItandWonder']
2020-04-06 10:26:00,Terrapin Springs,Charles_FloresCat2015,['#FTWsomething']
2020-04-06 10:26:00,West Parton,DarkIcecreamRonald,['#FTWanyoneWonder']
2020-04-06 10:27:00,Southton,MilesBear56,['#FTWsomething']
2020-04-06 10:27:00,Safe Town,KevinFamousSeavey,['#FTWanyoneWonder']
2020-04-06 10:28:00,Southwest,WatchesEgglestonOctopus,['#FTWanyoneWonder']
2020-04-06 10:29:00,Weston,FamousTanyaBanana,['#FTWanyoneWonder']
2020-04-06 10:30:00,Downtown,JuliusOctopus56,['#FTWanyoneWonder']
2020-04-06 10:31:00,Terrapin Springs,FuriousCarJoshua,['#Hatesomething']
2020-04-06 10:32:00,Southton,DonaldSmartSanford,['#FTWanyoneWonder']
2020-04-06 10:32:00,Scenic Vista,AttentativeDLight6,['#FTWsomething']
2020-04-06 10:33:00,Old Town,Edward_Alston1985,['#FTWanyoneWonder']
2020-04-06 10:34:00,Southton,F71Halfhill,['#FTWanyoneWonder']
2020-04-06 10:35:00,Chapparal,RockyBusyA,['#FTWanyoneWonder']
2020-04-06 10:36:00,West Parton,SmartCouchChristina,['#FTWlonglived']
2020-04-06 10:36:00,Safe Town,Travis42,['#Hatedone']
2020-04-06 10:38:00,Downtown,LovesTheresa_KeyserBear,['#FTWthatCan']
2020-04-06 10:38:00,West Parton,TallMCouch,['#FTWanyoneWonder']
2020-04-06 10:39:00,Downtown,RacesMontoyaMouse,['#FTWanyoneWonder']
2020-04-06 10:40:00,Weston,Thomas39Mckee,['#HateniceWonder']
2020-04-06 10:41:00,Downtown,RFuriousThacker,['#FTWsomething']
2020-04-06 10:43:00,Chapparal,Lillie_West1989,['#FTWanyoneWonder']
2020-04-06 10:46:00,Southwest,CleverOhareIcecream2007,['#FTWsomething']
2020-04-06 10:46:00,Chapparal,CleverBakerCandy,['#Winswagtail']
2020-04-06 10:49:00,Palace Hills,LazyBCar,['#FTWonesCan']
2020-04-06 10:49:00,Downtown,Wildes78,['#FTWanyoneWonder']
2020-04-06 10:50:00,Southton,FastDebaeckePlate65,['#FTWlongWaste']
2020-04-06 10:51:00,Old Town,Joan1969G,['#FTWsomething']
2020-04-06 10:52:00,Broadview,CuriousIcecreamGillen,['#FTWanyoneWonder']
2020-04-06 10:53:00,Safe Town,LetaObnoxiousC,['#FTWsomething']
2020-04-06 10:55:00,Pepper Mill,LazyNLight,['#FTWsomething']
2020-04-06 10:56:00,Weston,Nora_GilbertBird2001,['#FTWsomething']
2020-04-06 10:57:00,Cheddarford,Richard_WallaceHorse1979,['#HateonCan']
2020-04-06 10:57:00,Scenic Vista,FuriousEBread,['#FTWanyoneWonder']
2020-04-06 10:58:00,Weston,Patricia3W,['#FTWsomething']
2020-04-06 11:00:00,West Parton,RacesRichardBear,['#both']
2020-04-06 11:00:00,Easton,LDarkBurns,['#FTWthey']
2020-04-06 11:02:00,Broadview,RacesJason_DicaprioMouse,['#GreatpansWonder']
2020-04-06 11:03:00,Safe Town,CandidLCouch,['#it']
2020-04-06 11:04:00,Oak Willow,FearsMicheleCat,['#Greathimself']
2020-04-06 11:05:00,West Parton,PaulObnoxiousCowan,['#WinsskilledWonder']
2020-04-06 11:08:00,Weston,FastWLight22,['#MakesItshvaee']
2020-04-06 11:13:00,Chapparal,JohnLazyL,['#areCan']
2020-04-06 11:19:00,Southwest,FastCarCooks,['#MakesItsomething']
2020-04-06 11:21:00,East Parton,CleverPlateManuel,['#GreatorCan']
2020-04-06 11:21:00,Oak Willow,CarolynCuriousBarker,['#MakesItthatWonder']
2020-04-06 11:22:00,Scenic Vista,SmartBowlCharlene_Shaw,['#someoneWonder']
2020-04-06 11:24:00,Palace Hills,WatchesAngela_RogerCat,['#onWonder']
2020-04-06 11:25:00,Easton,SmartBeachamIcecream1998,['#Winsfree']
2020-04-06 11:28:00,Downtown,CleverBreadKathleen,['#MakesItpersonCan']
2020-04-06 11:28:00,Old Town,N69Newman,['#WinsanythingWonder']
2020-04-06 11:30:00,West Parton,WileyIPlate55,['#Hatebeing']
2020-04-06 11:32:00,Safe Town,MCleverWallace,['#FTWgovernmentissuedWonder']
2020-04-06 11:36:00,Southton,WileyGaitherBanana,['#GreatWith']
2020-04-06 11:39:00,Safe Town,Raymond1985M,['#Winswhatta']
2020-04-06 11:40:00,Southton,WatchesCristHorse,['#Hateat']
2020-04-06 11:41:00,Palace Hills,TallGoodrichPlate1995,['#HatebleedingCan']
2020-04-06 11:43:00,Southton,CuriousBananaJanet,['#glanceWonder']
2020-04-06 11:49:00,Safe Town,MelissaMouse2002,['#Hatethese']
2020-04-06 11:49:00,Terrapin Springs,FastMBowl,['#GreatheartCan']
2020-04-06 11:53:00,Downtown,CandidLBread,['#HateearthquakeWonder']
2020-04-06 11:53:00,Scenic Vista,FamousCarGlidewell,['#FTWbeccauseecauseWonder']
2020-04-06 12:01:00,Southton,BusyScottBowl,['#FTWconcernedCan']
2020-04-06 12:05:00,Chapparal,Dickey2005,['#FTWtheWonder']
2020-04-06 12:07:00,Scenic Vista,FamousOCar1984,['#rumble']
2020-04-06 12:08:00,Weston,GuapoVBread11,['#deuchebaggery']
2020-04-06 12:11:00,East Parton,SmithDog24,['#Greatashamed']
2020-04-06 12:13:00,Southton,AttentativeJBread,['#MakesItanything']
2020-04-06 12:16:00,Scenic Vista,FearsMatthewDog,['#rumble']
2020-04-06 12:24:00,Palace Hills,TallBriggsCouch42,['#FTWexercising']
2020-04-06 12:26:00,Scenic Vista,LovesIona_OxleyBear,['#FTWdenentoshi']
2020-04-06 12:28:00,Southton,EvelynHorse29,['#Greatthe']
2020-04-06 12:30:00,Oak Willow,Nancy1969Hastings,['#GreatallCan']
2020-04-06 12:31:00,West Parton,JeanetteTallA,['#HatesleeeepWonder']
2020-04-06 12:31:00,Pepper Mill,WatchesLoweLion,['#Greathighland']
2020-04-06 12:33:00,Southton,MilesBear56,['#GreatdefinitelyCan']
2020-04-06 12:34:00,Broadview,WatchesSal_GuillenDog,['#FTWwantCan']
2020-04-06 12:35:00,Pepper Mill,FleetCouchMark,['#dayWaste']
2020-04-06 12:37:00,Weston,FastBarthelIcecream,['#Hatecertified']
2020-04-06 12:37:00,Northwest,SmartACouch86,['#thereWaste']
2020-04-06 12:38:00,Oak Willow,FastCeceliaBanana,['#Greatdownvoted']
2020-04-06 12:40:00,Downtown,ACuriousP,['#FTWfromWaste']
2020-04-06 12:49:00,Oak Willow,EWileyConklin,['#HateawesomeCan']
2020-04-06 12:51:00,Safe Town,BGuapoHudson,['#started']
2020-04-06 12:51:00,Southton,D99Johnson,['#Greatdownvoted']
2020-04-06 12:53:00,Weston,SmartFCar,['#MakesItcantCan']
2020-04-06 12:55:00,East Parton,WileyLaquitaCar,['#FTWmoreWonder']
2020-04-06 12:58:00,Cheddarford,MichelleDog46,['#FTWPERFECT']
2020-04-06 12:59:00,Terrapin Springs,HFamousHutcherson,['#GreatenvironmentalWaste']
2020-04-06 12:59:00,Broadview,FuriousCouchTabitha_Bell,['#FTWdelicious']
2020-04-06 13:05:00,Broadview,TallIcecreamStephen_Liberty,['#Winsthey']
2020-04-06 13:05:00,Scenic Vista,SchmidtBird1964,['#badCan']
2020-04-06 13:06:00,Southwest,TallSLight,['#anything']
2020-04-06 13:08:00,Scenic Vista,MabelTallR,['#HatemusicWaste']
2020-04-06 13:09:00,Northwest,SmartHLight,['#Greatdownvoted']
2020-04-06 13:14:00,Southwest,RacesJack_SayersLion,['#badCan']
2020-04-06 13:16:00,Oak Willow,DarkNLight,['#WinshaveCan']
