time,location,account,cue
2020-04-06 10:05:00,West Parton,RichardMouse23,['@CuriousHowardLight']
2020-04-06 10:07:00,Northwest,DFastWeaver,['@CuriousHowardLight']
2020-04-06 10:09:00,Southwest,GuapoSLight,['@CuriousHowardLight']
2020-04-06 10:10:00,Terrapin Springs,BusyHouseBrian_Whiteford,['@CuriousHowardLight']
2020-04-06 10:13:00,Southton,AttentativeBinderBread23,['@CuriousHowardLight']
2020-04-06 10:14:00,Safe Town,FuriousSBread,['@CuriousHowardLight']
2020-04-06 10:15:00,Northwest,SmartNosekIcecream63,['@CuriousHowardLight']
2020-04-06 10:16:00,Scenic Vista,WatchesCeaMouse,['@MontoyaWhale50']
2020-04-06 10:16:00,Southton,FastPBread72,['@CuriousHowardLight']
2020-04-06 10:17:00,West Parton,LayneBird16,['@CuriousHowardLight']
2020-04-06 10:19:00,Easton,BusyTrinkleinIcecream,['@RunsAngelaDog']
2020-04-06 10:21:00,Weston,SAttentativeT,['@CuriousHowardLight']
2020-04-06 10:22:00,Weston,MyrtleDarkGartrell,['@CuriousHowardLight']
2020-04-06 10:23:00,Downtown,FamousCarCynthia_Powe,['@CuriousHowardLight']
2020-04-06 10:25:00,Old Town,N69Newman,['@Knepper47']
2020-04-06 10:25:00,Southton,CuriousMIcecream,['@CuriousHowardLight']
2020-04-06 10:28:00,Terrapin Springs,WarrenOctopus17,['@CuriousHowardLight']
2020-04-06 10:30:00,Terrapin Springs,BusyBowlMary,['@CuriousHowardLight']
2020-04-06 10:31:00,Weston,EssieFastThomas,['@WatchesCristHorse']
2020-04-06 10:34:00,Weston,CleverBowlLarkin,['@TallHouseBryan_Smith']
2020-04-06 10:34:00,Safe Town,Michele1984Grover,['@CuriousHowardLight']
2020-04-06 10:35:00,Northwest,CleverPCar,['@CuriousHowardLight']
2020-04-06 10:35:00,Northwest,ObnoxiousSBanana21,['@CleverShahIcecream']
2020-04-06 10:37:00,Southwest,GuapoSLight,['@CuriousHowardLight']
2020-04-06 10:40:00,Weston,Thomas39Mckee,['@RacesAnthony_SheckWhale']
2020-04-06 10:41:00,Downtown,FamousJLight,['@GuapoRenovaIcecream']
2020-04-06 10:45:00,Pepper Mill,ThomasCleverM,['@CuriousHowardLight']
2020-04-06 10:47:00,Oak Willow,Mark_Tavares85,['@CuriousHowardLight']
2020-04-06 10:48:00,Chapparal,CandidSLight,['@BusyRamseyBread62']
2020-04-06 10:56:00,Downtown,CleverBruceLight,['@CuriousHowardLight']
2020-04-06 11:01:00,Pepper Mill,CleverGroverIcecream,['@Joseph2014Ratliff']
2020-04-06 11:03:00,Weston,Elizabeth75,['@BusyRamseyBread62']
2020-04-06 11:11:00,Pepper Mill,FearsMatthew_AderDog,['@BusyRamseyBread62']
2020-04-06 11:16:00,Easton,MAttentativeM,['@MichaelHorse39']
2020-04-06 11:18:00,Downtown,LovesJulieWhale,['@ObnoxiousJimmyCouch']
2020-04-06 11:19:00,Weston,HoldsKarrieCat,['@BusyRamseyBread62']
2020-04-06 11:22:00,Southton,GeorgeWileyHudson,['@WBusyThompson']
2020-04-06 11:23:00,Downtown,MaryAttentativeM,['@BusyRamseyBread62']
2020-04-06 11:23:00,Old Town,Oliver2010,['@CleverShannonCouch']
2020-04-06 11:24:00,Cheddarford,LazyBradfordBanana1976,['@Lina1996']
2020-04-06 11:25:00,Northwest,CaraCuriousR,['@BusyRamseyBread62']
2020-04-06 11:26:00,Cheddarford,PamelaMouse2002,['@BusyRamseyBread62']
2020-04-06 11:29:00,Northwest,Connie1954B,['@BusyRamseyBread62']
2020-04-06 11:30:00,Chapparal,Heather1964,['@BusyRamseyBread62']
2020-04-06 11:34:00,Safe Town,Amanda1965H,['@HoldsRuby_BrewerLion']
2020-04-06 11:35:00,Downtown,FuriousECouch32,['@BusyRamseyBread62']
2020-04-06 11:36:00,Scenic Vista,TallHawkinsCar,['@BusyRamseyBread62']
2020-04-06 11:37:00,Safe Town,Dale_Akins2,['@BusyRamseyBread62']
2020-04-06 11:38:00,Northwest,L45Mcginnis,['@Edward1985Pepe']
2020-04-06 11:39:00,Weston,BusyAdamsIcecream79,['@ObnoxiousDIcecream']
2020-04-06 11:40:00,Weston,CandidSPlate,['@BusyRamseyBread62']
2020-04-06 11:41:00,Easton,I4Barbour,['@BusyRamseyBread62']
2020-04-06 11:44:00,Downtown,FamousMIcecream34,['@Jeffrey_Koepsell21']
2020-04-06 11:45:00,Downtown,AldanaLion62,['@BusyRamseyBread62']
2020-04-06 11:49:00,Chapparal,Peggy_AdkinsLion1998,['@FuriousMcgaugheyCouch']
2020-04-06 11:54:00,Southton,Benford1973,['@BusyRamseyBread62']
2020-04-06 11:56:00,Terrapin Springs,Paul_Wolfe2009,['@BusyRamseyBread62']
2020-04-06 11:57:00,East Parton,RFuriousBoyd,['@DarkIcecreamMicah_Knackstedt']
2020-04-06 11:57:00,Pepper Mill,SmartBreadKim,['@ObnoxiousLightBunker']
2020-04-06 11:57:00,Pepper Mill,JefferyDog84,['@DarkJohnsonBowl']
2020-04-06 12:00:00,Cheddarford,MariaFastH,['@BusyRamseyBread62']
2020-04-06 12:01:00,Southton,GuapoMcguinnessBanana,['@BusyRamseyBread62']
2020-04-06 12:05:00,Safe Town,CuriousHBowl1955,['@BusyRamseyBread62']
2020-04-06 12:07:00,Pepper Mill,Alyssa52Helton,['@BusyRamseyBread62']
2020-04-06 12:12:00,West Parton,SarahFamousM,['@BusyRamseyBread62']
2020-04-06 12:13:00,Safe Town,RCleverL,['@FleetKathrynBowl']
2020-04-06 12:14:00,Weston,WatchesMichael_ObrienMouse,['@BusyRamseyBread62']
2020-04-06 12:17:00,Southton,Jason_AhoBear80,['@BusyRamseyBread62']
2020-04-06 12:21:00,Old Town,BeagleMouse1965,['@FuriousGuerreroIcecream1979']
2020-04-06 12:22:00,Southwest,GuapoTPlate,['@BusyRamseyBread62']
2020-04-06 12:30:00,Chapparal,CuriousEllenCar,['@BusyRamseyBread62']
2020-04-06 12:35:00,East Parton,AttentativeRBowl,['@FuriousGuerreroIcecream1979']
2020-04-06 12:36:00,Northwest,Glenn_Allen6,['@FuriousGuerreroIcecream1979']
2020-04-06 12:43:00,Southton,SmartECandy,['@FuriousGuerreroIcecream1979']
2020-04-06 12:48:00,Southton,Jessica_VillegasWhale2001,['@DarkFreebornIcecream']
2020-04-06 12:50:00,Scenic Vista,Karen2017T,['@FuriousGuerreroIcecream1979']
2020-04-06 12:52:00,Cheddarford,Ralph1959,['@FuriousGuerreroIcecream1979']
2020-04-06 12:53:00,Weston,SmartFCar,['@R1989Whitworth']
2020-04-06 12:54:00,West Parton,WatsonDog3,['@FuriousGuerreroIcecream1979']
2020-04-06 12:56:00,Terrapin Springs,JoanBird2008,['@FuriousGuerreroIcecream1979']
2020-04-06 13:00:00,Downtown,ObnoxiousSCouch82,['@FuriousGuerreroIcecream1979']
2020-04-06 13:02:00,Pepper Mill,FleetHCouch1961,['@FuriousGuerreroIcecream1979']
2020-04-06 13:03:00,Pepper Mill,Mcdonald22,['@FuriousGuerreroIcecream1979']
2020-04-06 13:04:00,Oak Willow,LazyGBowl,['@FuriousGuerreroIcecream1979']
2020-04-06 13:06:00,Weston,FearsMartinDog,['@CleverDCandy']
2020-04-06 13:06:00,Southton,WatchesThomasBird,['@FuriousGuerreroIcecream1979']
2020-04-06 13:07:00,Southwest,Carlos_Gordon83,['@FuriousGuerreroIcecream1979']
2020-04-06 13:08:00,Southton,CuriousRCouch,['@FuriousGuerreroIcecream1979']
2020-04-06 13:10:00,Weston,RacesLorenaOctopus,['@BowdenMouse1992']
2020-04-06 13:12:00,Southton,Julia_BurgerBear1974,['@FuriousGuerreroIcecream1979']
2020-04-06 13:14:00,Northwest,K27Starr,['@LovesRobert_SaulWhale']
2020-04-06 13:22:00,Terrapin Springs,RacesPaul_HallBird,['@FuriousGuerreroIcecream1979']
2020-04-06 13:24:00,Northwest,WatchesJessicaBird,['@FastRBread17']
2020-04-06 13:32:00,Southton,FamousBananaJose,['@BusyMelanieIcecream']
2020-04-06 13:42:00,Old Town,SmartPlateWoody,['@FuriousGuerreroIcecream1979']
2020-04-06 13:54:00,Safe Town,GermanWrinkler43,['@AttentativeGilesPlate']
2020-04-06 14:00:00,Weston,Thomas1973,['@LockwoodBird27']
2020-04-06 14:08:00,Southwest,CandidDCar,['@LazyRiegelCandy25']
2020-04-06 14:13:00,East Parton,DarkCCouch41,['@AttentativeGilesPlate']
2020-04-06 14:17:00,Southwest,LovesVirginia_PirainoBird,['@AttentativeGilesPlate']
2020-04-06 14:18:00,Downtown,TallPCouch1979,['@Jeffrey_Koepsell21']
2020-04-06 14:21:00,Oak Willow,SmartBreadLawson,['@Franklin4']
2020-04-06 14:24:00,Palace Hills,FamousCarSmith,['@GuadalupeDog2018']
2020-04-06 14:25:00,Scenic Vista,MaryBear1957,['@AttentativeGilesPlate']
2020-04-06 14:27:00,Weston,JAttentativeS,['@RobertCleverCampbell']
2020-04-06 14:36:00,Northwest,TonyPeterson,['@DerekNolan']
2020-04-06 14:36:00,Oak Willow,AttentativeCCandy,['@SallyBusyP']
2020-04-06 14:37:00,Terrapin Springs,LovesGuthCat,['@WileyCouchAlbert_Gibson']
2020-04-06 14:37:00,West Parton,WileyJamesHouse,['@AttentativeGilesPlate']
2020-04-06 14:40:00,West Parton,BusyCHouse45,['@MontoyaWhale50']
2020-04-06 14:40:00,UNKNOWN,VeryPopularSingerLalisaManoban,['@ChemistryTeacherRichardNelson']
2020-04-06 14:41:00,Old Town,Mrs.Tillenbottom,['@CatLadyKylieCrane']
2020-04-06 14:41:00,Cheddarford,DerekNolan,['@RacesCurrinDog']
2020-04-06 14:42:00,Chapparal,ChemistryTeacherRichardNelson,['@VeryPopularSingerLalishoudlaManoban']
2020-04-06 14:42:00,Chapparal,FastBowlMoore,['@DerekNolan']
2020-04-06 14:43:00,Pepper Mill,CassieStones,['@AlwaysSafePowerCompany']
2020-04-06 14:43:00,Chapparal,FearsReynoldsLion,['@DerekNolan']
2020-04-06 14:43:00,Wilson Forest,FamousLightMinnie,['@AttentativeSmallsLight72']
2020-04-06 14:44:00,West Parton,LovesJaimeCat,['@DerekNolan']
2020-04-06 14:44:00,Safe Town,AlwaysSafePowerCompany,['@CassieStones!']
2020-04-06 14:44:00,West Parton,RachelSimmons,['@TonyPeterson']
2020-04-06 14:44:00,Northwest,TonyPeterson,['@RachelSimmons']
2020-04-06 14:44:00,Cheddarford,DerekNolan,['@AlwaysSafePowerCompany']
2020-04-06 14:45:00,Old Town,Miller96,['@ArdministratoorSophie']
2020-04-06 14:45:00,Safe Town,AlwaysSafePowerCompany,['@DerekNolan']
2020-04-06 14:45:00,Northwest,TonyPeterson,['@RachelSimmons']
2020-04-06 14:45:00,Cheddarford,DerekNolan,['@AlwaysSafePowerCompany']
2020-04-06 14:46:00,Northwest,GuapoCBanana1966,['@CatLadyKylieCrane']
2020-04-06 14:46:00,Chapparal,FastWBread98,['@DerekNolan']
2020-04-06 14:47:00,Cheddarford,DerekNolan,['@AlwaysSafePowerCompany']
2020-04-06 14:47:00,Downtown,TVHostBrad,['@AlwaysSafePowerCompany']
2020-04-06 14:48:00,Weston,FuriousTwiggsCar1987,['@AttentativeGilesPlate']
2020-04-06 14:49:00,Pepper Mill,JonathanCat2005,['@DerekNolan']
2020-04-06 14:49:00,Oak Willow,AttentativeCCandy,['@RacesCurrinDog']
2020-04-06 14:50:00,Safe Town,AlwaysSafePowerCompany,"['@TVHostBrad,']"
2020-04-06 14:50:00,Old Town,WatchesCottrellBear,['@FastKevinBowl']
2020-04-06 14:50:00,Downtown,W25Coates,['@RachelSimmons']
2020-04-06 14:51:00,Weston,FrankieFish96,['@Angelica2019Hamiel']
2020-04-06 14:51:00,Terrapin Springs,JohnsonBird28,['@CatLadyKylieCrane']
2020-04-06 14:51:00,Scenic Vista,Jose_UrbancicFish1982,['@DerekNolan']
2020-04-06 14:52:00,Northwest,LazyMLight,['@AlwaysSafePowerCompany']
2020-04-06 14:53:00,Downtown,AttentativeGonzalesBread1994,['@CassieStones!']
2020-04-06 14:53:00,Downtown,Darcy_RenfrewOctopus73,['@DarkFreebornIcecream']
2020-04-06 14:53:00,Terrapin Springs,BusyBreadGerard_Loque,['@DerekNolan']
2020-04-06 14:53:00,Downtown,FuriousBowlVargas,['@CatLadyKylieCrane']
2020-04-06 14:54:00,East Parton,PAttentativeJackson,['@CassieStones!']
2020-04-06 14:54:00,Cheddarford,RacesMarvin_FordLion,['@AlwaysSafePowerCompany']
2020-04-06 14:54:00,Pepper Mill,BusyCIcecream40,"['@TVHostBrad,']"
2020-04-06 14:55:00,Downtown,FearsEileenWhale,['@GuapoFPlate']
2020-04-06 14:55:00,Scenic Vista,HoldsRunyonLion,['@CatLadyKylieCrane']
2020-04-06 14:55:00,Palace Hills,FearsBenjaminMouse,['@AlwaysSafePowerCompany']
2020-04-06 14:55:00,Oak Willow,FuriousCarBertha,['@FearsRossBird']
2020-04-06 14:56:00,Southton,ESmartLuescher,['@RachelSimmons']
2020-04-06 14:56:00,Chapparal,CleverBakerCandy,['@CassieStones!']
2020-04-06 14:56:00,Southwest,LorettaSmartRay,['@DerekNolan']
2020-04-06 14:56:00,Southton,CuriousBananaWilliam_Youngman,['@LazyPBread55']
2020-04-06 14:57:00,Palace Hills,DarkHeatherLight,"['@TVHostBrad,']"
2020-04-06 14:57:00,Downtown,ObnoxiousSCouch82,['@DerekNolan']
2020-04-06 14:57:00,Broadview,FuriousCouchTabitha_Bell,['@AlwaysSafePowerCompany']
2020-04-06 14:57:00,Northwest,Carlos_Turner70,['@RacesCurrinDog']
2020-04-06 14:57:00,Terrapin Springs,ThomasBird37,['@RachelSimmons']
2020-04-06 14:58:00,Terrapin Springs,WileyCouchMccafferty,['@AttentativeLaskinLight2011']
2020-04-06 14:58:00,Southton,LovesKeithWhale,['@CassieStones!']
2020-04-06 14:58:00,Palace Hills,Willie_Mclaughlin1969,['@AlwaysSafePowerCompany']
2020-04-06 14:59:00,Broadview,JAttentativeDewitt,['@AlwaysSafePowerCompany']
2020-04-06 14:59:00,Weston,FleetRackhamCouch2005,['@AlwaysSafePowerCompany']
2020-04-06 14:59:00,Northwest,RFamousH,['@RachelSimmons']
2020-04-06 14:59:00,Northwest,DarkSaraCouch,['@CassieStones!']
2020-04-06 15:00:00,Northwest,ErinDog25,['@CatLadyKylieCrane']
2020-04-06 15:01:00,Palace Hills,BaileyFish75,['@RachelSimmons']
2020-04-06 15:01:00,Cheddarford,FuriousSteveCar,['@RacesCurrinDog']
2020-04-06 15:01:00,Safe Town,FleetJeramyIcecream,['@CatLadyKylieCrane']
2020-04-06 15:01:00,Safe Town,FuriousCBanana87,['@DerekNolan']
2020-04-06 15:01:00,Downtown,LovesMichaelFish,['@AlwaysSafePowerCompany']
2020-04-06 15:01:00,Southwest,RandyHorse2006,['@AlwaysSafePowerCompany']
2020-04-06 15:01:00,Pepper Mill,CuriousBBanana1952,['@HelenaGuapoA']
2020-04-06 15:01:00,Old Town,GuapoIcecreamJavier,['@AlwaysSafePowerCompany']
2020-04-06 15:02:00,Weston,BusyBIcecream39,['@DerekNolan']
2020-04-06 15:02:00,Terrapin Springs,ObnoxiousGCouch,['@AlwaysSafePowerCompany']
2020-04-06 15:02:00,Broadview,RacesJason_DicaprioMouse,['@AlwaysSafePowerCompany']
2020-04-06 15:02:00,Palace Hills,WatchesSamantha_PickelCat,['@AlwaysSafePowerCompany']
2020-04-06 15:03:00,Weston,Lloyd_Warnke94,['@AlwaysSafePowerCompany']
2020-04-06 15:03:00,Scenic Vista,EAttentativeM,['@AlwaysSafePowerCompany']
2020-04-06 15:03:00,Chapparal,GuapoGrambleBanana1952,['@AlwaysSafePowerCompany']
2020-04-06 15:03:00,Palace Hills,CleverTravisBowl,['@CassieStones!']
2020-04-06 15:03:00,Southton,FuriousWCar,['@RachelSimmons']
2020-04-06 15:03:00,East Parton,LazyCharlesBowl,"['@TVHostBrad,']"
2020-04-06 15:04:00,Terrapin Springs,RacesRohrBird,['@DerekNolan']
2020-04-06 15:04:00,Cheddarford,LovesEugeneMouse,"['@TVHostBrad,']"
2020-04-06 15:04:00,Old Town,BlankCat2006,['@AlwaysSafePowerCompany']
2020-04-06 15:04:00,West Parton,Marisela_KozmaMouse1991,['@CassieStones!']
2020-04-06 15:05:00,Scenic Vista,Michelle_LoopMouse1983,['@RachelSimmons']
2020-04-06 15:05:00,Downtown,JuliusOctopus56,['@AlwaysSafePowerCompany']
2020-04-06 15:05:00,Southwest,George1992Sims,['@CassieStones!']
2020-04-06 15:05:00,Southton,FastBananaAvery_Smith,['@RacesCurrinDog']
2020-04-06 15:05:00,Weston,BusyAdamsIcecream79,['@AlwaysSafePowerCompany']
2020-04-06 15:05:00,East Parton,MableFastLogan,"['@TVHostBrad,']"
2020-04-06 15:05:00,Old Town,Miller96,['@CatLadyKylieCrane']
2020-04-06 15:06:00,Terrapin Springs,SmartMBread,['@AlwaysSafePowerCompany']
2020-04-06 15:06:00,West Parton,RacesAmaroHorse,['@RachelSimmons']
2020-04-06 15:06:00,Old Town,George67Johnson,['@AlwaysSafePowerCompany']
2020-04-06 15:07:00,Downtown,TallEvelynCandy,"['@TVHostBrad,']"
2020-04-06 15:07:00,Pepper Mill,HoldsShirleyDog,['@WileyDonaldPlate']
2020-04-06 15:07:00,Downtown,LovesCarolBear,['@RachelSimmons']
2020-04-06 15:07:00,Northwest,DarkBowlBarbara,['@ChemistryTeacherRichardNelson']
2020-04-06 15:07:00,Weston,JamesCandidMartin,['@TonyPeterson']
2020-04-06 15:07:00,West Parton,RacesAmaroHorse,['@AlwaysSafePowerCompany']
2020-04-06 15:08:00,Northwest,AttentativeWLight2019,['@ArdministratoorSophie']
2020-04-06 15:08:00,Southwest,Laura60Perkins,['@DerekNolan']
2020-04-06 15:09:00,Terrapin Springs,CleverShannonCouch,"['@TVHostBrad,']"
2020-04-06 15:10:00,Scenic Vista,Armando_ReganHorse33,['@TonyPeterson']
2020-04-06 15:10:00,Weston,CandidSchultzCandy89,['@AlwaysSafePowerCompany']
2020-04-06 15:11:00,Downtown,Crystal_SantosOctopus79,['@AlwaysSafePowerCompany']
2020-04-06 15:11:00,Weston,M51Richardson,['@TonyPeterson']
2020-04-06 15:11:00,Broadview,Joseph2014Ratliff,['@RunsGarciaLion']
2020-04-06 15:12:00,Broadview,Theresa_BranchOctopus1991,['@RachelSimmons']
2020-04-06 15:12:00,Scenic Vista,Elsie_VillanovaHorse35,['@RachelSimmons']
2020-04-06 15:12:00,Easton,TFuriousC,['@AlwaysSafePowerCompany']
2020-04-06 15:12:00,Weston,CandidKlinkBowl61,"['@TVHostBrad,']"
2020-04-06 15:12:00,Weston,WatchesDebbie_JacksonLion,['@LovesVirginia_PirainoBird']
2020-04-06 15:12:00,Cheddarford,TallBowlHenry,['@AlwaysSafePowerCompany']
2020-04-06 15:12:00,Weston,SmartFCar,['@RacesCurrinDog']
2020-04-06 15:13:00,Oak Willow,SeanTallBarney,['@ArdministratoorSophie']
2020-04-06 15:13:00,Cheddarford,DarkRCouch,['@DerekNolan']
2020-04-06 15:13:00,Scenic Vista,Juana_Zuniga22,['@AlwaysSafePowerCompany']
2020-04-06 15:13:00,Downtown,BTallMosley,['@RachelSimmons']
2020-04-06 15:14:00,Scenic Vista,G2015Howland,['@DerekNolan']
2020-04-06 15:14:00,Southwest,NAttentativeRobinson,['@TonyPeterson']
2020-04-06 15:14:00,Safe Town,AttentativeWilsonHouse14,['@AlwaysSafePowerCompany']
2020-04-06 15:14:00,Scenic Vista,RunsBrian_ThibodeauxBear,"['@TVHostBrad,']"
2020-04-06 15:15:00,Southton,GuapoHamBanana1967,['@AlwaysSafePowerCompany']
2020-04-06 15:15:00,Broadview,Denise_DeenFish28,['@AlwaysSafePowerCompany']
2020-04-06 15:16:00,Scenic Vista,DarkLBanana,['@RachelSimmons']
2020-04-06 15:17:00,Cheddarford,LawsonBird13,['@AlwaysSafePowerCompany']
2020-04-06 15:17:00,Safe Town,CleverBreadCarey,['@RachelSimmons']
2020-04-06 15:17:00,Weston,GeorgeBird1982,['@CassieStones!']
2020-04-06 15:18:00,Old Town,CuriousCarRotondo,['@RacesCurrinDog']
2020-04-06 15:18:00,Weston,Mittie45,['@RachelSimmons']
2020-04-06 15:19:00,Southton,CandidPlateMiles_Parrott,['@AlwaysSafePowerCompany']
2020-04-06 15:20:00,Weston,CuriousBananaHarper,['@AlwaysSafePowerCompany']
2020-04-06 15:20:00,Scenic Vista,W68Duran,['@ChemistryTeacherRichardNelson']
2020-04-06 15:20:00,Weston,A98Chavarria,['@RachelSimmons']
2020-04-06 15:20:00,West Parton,RacesJohn_MyrickOctopus,['@TonyPeterson']
2020-04-06 15:20:00,Cheddarford,Jackson17,['@FleetRaymondIcecream']
2020-04-06 15:21:00,Broadview,Theresa_BranchOctopus1991,['@Dale_Akins2']
2020-04-06 15:21:00,Old Town,BusySalibaHouse63,['@ChemistryTeacherRichardNelson']
2020-04-06 15:21:00,Northwest,AbernethyHorse8,['@ArdministratoorSophie']
2020-04-06 15:22:00,Palace Hills,BusyBowlDow,['@RachelSimmons']
2020-04-06 15:22:00,Downtown,John_Allison89,['@ChemistryTeacherRichardNelson']
2020-04-06 15:22:00,Pepper Mill,Tina1974,['@ArdministratoorSophie']
2020-04-06 15:23:00,Northwest,CuriousKirkPlate,['@SarahFamousM']
2020-04-06 15:23:00,East Parton,Stancil6,['@DerekNolan']
2020-04-06 15:23:00,Southton,Linda_Cannon80,['@Charlotte1957']
2020-04-06 15:24:00,Cheddarford,RTallHolmes,['@RacesCurrinDog']
2020-04-06 15:24:00,Northwest,CleverLightRobin,['@RachelSimmons']
