time,sensorId,value
49,14,14.9
49,15,81.65
50,1,14.72
50,4,14.59
50,6,14.82
50,9,14.65
50,11,14.87
50,12,14.99
50,13,15.25
50,14,14.01
50,15,14.7
51,1,14.41
51,4,14.5
51,6,13.9
51,9,14.8
51,11,14.44
51,12,15.05
51,13,14.35
51,14,14.59
51,15,14.4
52,1,14.89
52,4,15.22
52,6,15.03
52,9,15.48
52,11,14.74
52,12,15.08
52,13,14.64
52,14,15.44
52,15,13.7
53,1,14.39
53,4,15.35
53,6,14.57
53,9,14.32
53,11,13.88
53,12,14.5
53,13,14.44
53,14,13.57
53,15,14.34
54,1,15.43
54,4,15.57
54,6,14.05
54,9,15.25
54,11,15.2
54,12,15.44
54,13,15.01
54,14,15.43
54,15,14.88
55,1,14.1
55,4,15.76
55,6,14.66
55,9,15.07
55,11,14.64
55,12,15.67
55,13,14.84
55,14,15.01
55,15,14.12
56,1,15.16
56,4,13.99
56,6,15.0
56,9,15.07
56,11,14.43
56,12,14.45
56,13,14.22
56,14,14.94
56,15,14.7
57,1,13.46
57,4,14.9
57,6,14.86
57,9,15.24
57,11,14.56
57,12,14.38
57,13,14.08
57,14,14.07
57,15,14.32
58,1,14.75
58,4,13.62
58,6,13.57
58,9,15.02
58,11,15.2
58,12,14.85
58,13,14.62
58,14,14.24
58,15,14.37
59,1,14.55
59,4,14.44
59,6,15.6
59,9,14.67
59,11,14.46
59,12,13.97
59,13,14.75
59,14,13.58
59,15,14.39
60,1,13.74
60,4,15.14
60,6,14.81
60,9,15.56
60,11,14.94
60,12,14.28
60,13,13.94
60,14,15.31
60,15,15.36
61,1,13.89
61,4,15.12
61,6,13.73
61,9,13.97
61,11,15.34
61,12,14.12
61,13,13.69
61,14,14.52
61,15,13.75
62,1,15.05
62,4,13.04
62,6,14.52
62,9,14.17
62,11,14.25
62,12,14.2
62,13,14.22
62,14,14.21
62,15,14.62
63,1,15.49
63,4,14.4
63,6,14.56
63,9,13.73
63,11,14.45
63,12,14.47
63,13,14.68
63,14,13.55
63,15,14.22
64,1,14.71
64,4,14.64
64,6,14.38
64,9,14.35
64,11,14.03
64,12,15.31
64,13,14.94
64,14,15.84
64,15,14.04
65,1,14.44
65,4,14.45
65,6,14.65
65,9,15.55
65,11,15.03
65,12,14.11
65,13,13.74
65,14,14.69
65,15,14.52
66,1,14.75
66,4,14.2
66,6,13.82
66,9,14.31
66,11,14.86
66,12,14.41
66,13,14.63
66,14,15.03
66,15,13.98
67,1,14.59
67,4,13.84
67,6,13.86
67,9,14.71
67,11,14.0
67,12,14.75
67,13,13.5
67,14,13.88
67,15,13.96
68,1,15.35
68,4,13.74
68,6,13.95
68,9,14.59
68,11,14.24
68,12,15.49
68,13,14.82
68,14,13.61
68,15,14.14
69,1,14.31
69,4,14.85
69,6,14.5
69,9,15.34
69,11,14.8
69,12,14.44
69,13,14.22
69,14,13.6
69,15,14.3
70,1,14.18
70,4,14.95
70,6,14.48
70,9,14.9
70,11,14.09
70,12,14.26
70,13,14.06
70,14,14.8
70,15,14.85
71,1,14.76
71,4,14.67
71,6,14.84
71,9,14.62
71,11,14.34
71,12,14.04
71,13,14.79
71,14,14.26
71,15,14.02
72,1,15.18
72,4,15.16
72,6,14.23
72,9,14.92
72,11,14.96
72,12,13.69
72,13,15.13
72,14,14.23
72,15,13.86
73,1,15.24
73,4,13.98
73,6,15.1
73,9,14.79
73,11,14.72
73,12,14.66
73,13,15.38
73,14,14.52
73,15,13.72
74,1,14.21
74,4,15.34
74,6,14.43
74,9,13.6
74,11,14.46
74,12,15.34
74,13,14.53
74,14,14.62
74,15,14.74
75,1,14.72
75,4,14.34
75,6,14.19
75,9,14.34
75,11,14.92
75,12,13.09
75,13,14.91
75,14,14.44
75,15,14.91
76,1,15.09
76,4,13.63
76,6,14.5
76,9,14.92
76,11,15.1
76,12,14.99
76,13,14.44
76,14,15.43
76,15,14.47
77,1,15.94
77,4,15.38
77,6,14.52
77,9,14.9
77,11,14.7
77,12,14.31
77,13,15.76
77,14,15.25
77,15,15.48
78,1,14.47
78,4,15.31
78,6,15.32
78,9,13.59
78,11,15.29
78,12,15.59
78,13,14.79
78,14,14.19
78,15,14.9
79,1,14.44
79,4,14.55
79,6,14.1
79,9,14.34
79,11,15.0
79,12,14.59
79,13,14.64
79,14,14.52
79,15,14.4
80,1,14.48
80,4,15.3
80,6,14.2
80,9,14.3
80,11,14.95
80,12,14.76
80,13,13.97
80,14,13.41
80,15,15.12
81,1,15.07
81,4,14.54
81,6,15.32
81,9,15.06
81,11,14.08
81,12,15.37
81,13,14.9
81,14,13.87
81,15,14.89
82,1,14.46
82,4,14.67
82,6,14.3
82,9,14.48
82,11,14.79
82,12,14.3
82,13,14.83
82,14,14.15
82,15,15.27
83,1,14.76
83,4,14.42
83,6,15.71
83,9,13.44
83,11,15.65
83,12,14.24
83,13,14.95
83,14,15.32
83,15,14.29
84,1,15.55
84,4,14.95
84,6,14.25
84,9,14.0
84,11,15.19
84,12,14.59
84,13,13.82
84,14,14.81
84,15,14.53
85,1,16.03
85,4,14.93
85,6,15.21
85,9,14.89
85,11,14.77
85,12,14.75
85,13,14.75
85,14,14.11
85,15,14.36
86,1,15.41
86,4,14.23
86,6,14.61
86,9,15.0
86,11,14.55
86,12,14.46
86,13,14.82
86,14,14.35
86,15,14.11
87,1,13.78
87,4,15.27
87,6,15.57
87,9,16.07
87,11,13.95
87,12,14.01
87,13,14.84
87,14,14.7
87,15,14.61
88,1,14.85
88,4,15.1
88,6,14.75
88,9,15.32
88,11,14.12
88,12,14.83
88,13,14.49
88,14,14.47
88,15,15.6
89,1,14.23
89,4,15.73
89,6,14.04
89,9,14.23
89,11,15.33
89,12,14.74
89,13,14.84
89,14,14.49
89,15,14.52
90,1,14.13
90,4,13.1
90,6,15.0
90,9,14.58
90,11,13.41
90,12,13.84
90,13,15.16
90,14,15.56
90,15,14.88
91,1,14.23
91,4,14.36
91,6,15.02
91,9,14.0
91,11,14.99
91,12,14.35
91,13,15.33
91,14,15.09
91,15,15.43
92,1,14.17
92,4,14.75
92,6,13.86
92,9,13.96
92,11,14.87
92,12,14.02
92,13,14.65
92,14,13.37
92,15,14.55
93,1,15.7
93,4,14.34
93,6,15.08
93,9,14.15
93,11,13.89
93,12,14.31
93,13,14.79
93,14,13.88
93,15,14.78
94,1,14.36
94,4,14.55
94,6,15.06
94,9,14.92
94,11,14.81
94,12,13.84
94,13,14.53
94,14,14.9
94,15,14.65
95,1,14.77
95,4,14.88
95,6,14.03
95,9,15.98
95,11,14.56
95,12,15.22
95,13,14.67
95,14,14.31
95,15,14.38
96,1,14.61
96,4,14.54
96,6,14.24
96,9,15.36
96,11,14.89
96,12,14.35
96,13,14.41
96,14,14.07
96,15,14.54
97,1,15.32
97,4,14.97
97,6,16.14
97,9,13.05
97,11,14.57
97,12,14.79
97,13,14.47
97,14,13.96
97,15,15.38
98,1,14.84
98,4,14.79
98,6,13.98
98,9,14.54
98,11,15.4
98,12,14.79
98,13,14.4
98,14,15.92
98,15,14.1
99,1,14.18
99,4,14.8
99,6,15.1
99,9,15.32
99,11,14.54
99,12,14.27
99,13,13.96
99,14,14.76
99,15,15.15
100,1,14.45
100,4,14.02
100,6,14.87
100,9,15.16
100,11,13.77
100,12,14.14
100,13,14.14
100,14,14.29
100,15,14.77
101,1,14.92
101,4,14.84
101,6,14.37
101,9,14.94
101,11,14.75
101,12,13.39
101,13,15.28
101,14,14.29
101,15,13.6
102,1,14.23
102,4,15.04
102,6,14.59
102,9,15.06
102,11,14.43
102,12,14.63
102,13,14.35
102,14,15.02
102,15,14.52
103,1,15.25
103,4,14.93
103,6,14.23
103,9,15.51
103,11,14.64
103,12,14.81
103,13,15.38
103,14,14.26
103,15,14.62
104,1,14.41
104,4,14.11
104,6,14.39
104,9,14.77
104,11,15.4
104,12,13.5
104,13,14.28
104,14,14.56
104,15,14.56
105,1,14.72
105,4,14.69
105,6,15.25
105,9,14.59
105,11,14.76
105,12,14.6
105,13,15.1
105,14,14.17
105,15,13.89
106,1,14.87
106,4,14.42
106,6,13.78
106,9,15.94
106,11,13.75
106,12,15.16
106,13,15.0
106,14,15.85
106,15,13.97
107,1,14.06
107,4,14.26
107,6,14.3
107,9,14.63
107,11,13.66
107,12,14.51
107,13,15.46
107,14,14.6
107,15,14.46
108,1,14.59
108,4,14.43
108,6,15.05
108,9,14.93
108,11,13.79
108,12,15.03
108,13,13.39
108,14,15.05
108,15,13.85
109,1,15.94
109,4,15.36
109,6,13.95
109,9,14.36
109,11,14.48
109,12,14.68
109,13,14.97
109,14,15.4
109,15,14.22
110,1,14.64
110,4,14.75
110,6,14.87
110,9,13.47
110,11,15.12
110,12,14.72
110,13,13.97
110,14,14.15
110,15,15.59
111,1,14.12
111,4,14.85
111,6,14.16
111,9,14.39
111,11,14.43
111,12,15.14
111,13,15.64
111,14,14.06
111,15,13.64
112,1,14.95
112,4,14.29
112,6,15.44
112,9,15.1
112,11,15.13
112,12,14.17
112,13,14.81
112,14,14.78
112,15,14.56
113,1,14.64
113,4,14.35
113,6,14.47
113,9,14.07
113,11,14.7
113,12,14.99
113,13,14.68
113,14,15.07
113,15,14.86
114,1,13.87
114,4,14.13
114,6,14.42
114,9,14.21
114,11,13.54
114,12,14.24
114,13,13.83
114,14,15.15
114,15,13.65
115,1,14.26
115,4,14.97
115,6,14.3
115,9,13.99
115,11,14.43
115,12,14.41
115,13,13.92
115,14,15.55
115,15,15.15
116,1,14.62
116,4,14.69
116,6,14.46
116,9,14.53
116,11,15.17
116,12,15.33
116,13,14.5
116,14,14.89
116,15,13.8
117,1,15.23
117,4,14.78
117,6,15.17
117,9,14.76
117,11,14.87
117,12,15.01
117,13,13.89
117,14,14.56
117,15,13.62
118,1,15.06
118,4,13.58
118,6,14.8
118,9,14.89
118,11,14.91
118,12,14.73
118,13,14.7
118,14,14.09
118,15,14.03
119,1,13.79
119,4,14.2
119,6,15.3
119,9,14.24
119,11,14.31
119,12,14.68
119,13,15.03
119,14,14.1
119,15,13.8
120,1,14.84
120,4,14.12
120,6,14.24
120,9,15.44
120,11,14.62
120,12,14.16
120,13,15.28
120,14,15.82
120,15,14.5
121,1,13.78
121,4,14.63
121,6,14.47
121,9,14.09
121,11,14.67
121,12,13.48
121,13,14.42
121,14,15.2
121,15,13.4
122,1,14.46
122,4,13.69
122,6,15.84
122,9,14.54
122,11,14.04
122,12,14.77
122,13,14.4
122,14,13.73
122,15,13.75
123,1,14.29
123,4,15.37
123,6,14.8
123,9,13.64
123,11,14.5
123,12,13.65
123,13,14.21
123,14,14.98
123,15,15.09
124,1,14.5
124,4,14.06
124,6,14.29
124,9,14.01
124,11,14.03
124,12,15.51
124,13,15.18
124,14,13.63
124,15,15.23
125,1,15.06
125,4,14.59
125,6,14.37
125,9,14.59
125,11,14.91
125,12,14.58
125,13,15.42
125,14,15.04
125,15,15.38
126,1,14.28
126,4,14.9
126,6,14.38
126,9,14.09
126,11,14.49
126,12,14.74
126,13,14.3
126,14,14.72
126,15,15.39
127,1,14.89
127,4,14.17
127,6,13.73
127,9,14.77
127,11,14.83
127,12,13.75
127,13,13.97
127,14,14.45
127,15,14.13
128,1,15.46
128,4,13.95
128,6,14.42
128,9,15.63
128,11,14.07
128,12,15.27
128,13,14.55
128,14,14.19
128,15,13.94
129,1,14.69
129,4,14.53
129,6,15.48
129,9,14.61
129,11,13.55
129,12,14.99
129,13,14.84
129,14,14.78
129,15,13.61
130,1,14.81
130,4,14.34
130,6,14.13
130,9,14.78
130,11,14.68
130,12,14.73
130,13,14.53
130,14,15.02
130,15,15.37
131,1,13.92
131,4,15.0
131,6,14.28
131,9,14.72
131,11,15.44
131,12,15.35
131,13,14.46
131,14,15.45
131,15,14.38
132,1,14.57
132,4,14.37
132,6,14.13
132,9,14.17
132,11,14.18
132,12,14.73
132,13,15.11
132,14,13.37
132,15,14.87
133,1,14.4
133,4,14.93
133,6,13.98
133,9,13.38
133,11,14.85
133,12,14.65
133,13,13.64
133,14,14.06
133,15,14.47
134,1,14.64
134,4,14.24
134,6,13.24
134,9,15.11
134,11,13.6
134,12,15.15
134,13,14.56
134,14,13.95
134,15,14.05
135,1,15.48
135,4,14.48
135,6,14.13
135,9,14.95
135,11,15.29
135,12,15.43
135,13,14.43
135,14,15.23
135,15,14.34
136,1,14.7
136,4,14.81
136,6,14.65
136,9,14.72
136,11,14.92
136,12,15.24
136,13,14.39
136,14,14.52
136,15,14.02
137,1,13.53
137,4,14.32
137,6,14.69
137,9,14.45
137,11,13.7
137,12,15.2
137,13,14.54
137,14,14.14
137,15,13.25
138,1,14.36
138,4,14.86
138,6,15.88
138,9,14.95
138,11,14.41
138,12,14.91
138,13,15.23
138,14,14.11
138,15,14.51
139,1,14.33
139,4,14.24
139,6,14.51
139,9,15.32
139,11,15.03
139,12,15.17
139,13,14.28
139,14,13.71
139,15,14.53
140,1,14.98
140,4,14.67
140,6,14.49
140,9,14.91
140,11,14.21
140,12,14.74
140,13,14.67
140,14,13.77
140,15,13.76
141,1,14.95
141,4,15.11
141,6,14.07
141,9,14.84
141,11,14.33
141,12,14.51
141,13,14.87
141,14,15.26
141,15,15.14
142,1,14.19
142,4,14.12
142,6,15.68
142,9,14.5
142,11,14.14
142,12,14.88
142,13,14.44
142,14,14.98
142,15,13.86
143,1,14.21
143,4,15.16
143,6,15.36
143,9,14.93
143,11,15.36
143,12,15.25
143,13,14.52
143,14,14.59
143,15,15.54
144,1,15.05
144,4,15.06
144,6,14.47
144,9,15.24
144,11,14.65
144,12,14.08
144,13,14.15
144,14,13.51
144,15,14.12
145,1,14.33
145,4,13.96
145,6,13.91
145,9,14.96
145,11,15.98
145,12,14.13
145,13,14.28
145,14,14.98
145,15,14.69
146,1,13.85
146,4,14.67
146,6,14.94
146,9,14.35
146,11,14.89
146,12,13.84
146,13,16.77
146,14,14.82
146,15,14.82
147,1,14.16
147,4,14.16
147,6,15.07
147,9,14.7
147,11,15.21
147,12,14.69
147,13,14.5
147,14,14.94
147,15,15.38
148,1,14.59
148,4,14.87
148,6,15.44
148,9,15.01
148,11,15.39
148,12,13.94
148,13,14.91
148,14,13.31
148,15,15.44
149,1,15.58
149,4,13.99
149,6,13.01
149,9,13.83
149,11,14.48
149,12,15.16
149,13,14.61
149,14,14.2
149,15,14.1
150,1,14.27
150,4,14.83
150,6,14.78
150,9,14.73
150,11,13.91
150,12,14.84
150,13,15.03
150,14,15.04
150,15,13.66
151,1,15.29
151,4,14.3
151,6,14.81
151,9,15.02
151,11,13.9
151,12,14.7
151,13,14.77
151,14,15.21
151,15,15.22
152,1,13.98
152,4,14.67
152,6,15.03
152,9,13.8
152,11,14.99
152,12,14.24
152,13,15.39
152,14,15.07
152,15,15.06
153,1,14.09
153,4,15.31
153,6,14.56
153,9,15.09
153,11,13.72
153,12,14.79
153,13,14.34
153,14,14.4
153,15,14.08
154,1,13.89
154,4,14.64
154,6,14.45
154,9,14.69
154,11,14.44
154,12,14.53
154,13,14.69
154,14,15.18
154,15,14.24
155,1,14.38
155,4,14.75
155,6,14.95
155,9,14.98
155,11,14.42
155,12,14.8
155,13,15.0
155,14,13.41
155,15,15.21
156,1,14.24
156,4,14.54
156,6,13.66
156,9,14.72
156,11,14.57
156,12,14.8
156,13,14.71
156,14,14.63
156,15,15.26
157,1,14.71
157,4,14.13
157,6,14.99
157,9,14.1
157,11,14.4
157,12,14.08
157,13,15.02
157,14,15.18
157,15,14.62
158,1,13.45
158,4,15.19
158,6,14.47
158,9,14.97
158,11,14.29
158,12,14.47
158,13,15.81
158,14,14.55
158,15,14.87
159,1,14.71
159,4,13.95
159,6,13.43
159,9,14.31
159,11,14.87
159,12,14.83
159,13,14.52
159,14,15.83
159,15,15.75
160,1,14.17
160,4,14.18
160,6,15.03
160,9,14.36
160,11,15.15
160,12,15.58
160,13,14.96
160,14,13.96
160,15,15.44
161,1,14.55
161,4,14.79
161,6,14.25
161,9,14.26
161,11,13.84
161,12,14.63
161,13,15.53
161,14,14.29
161,15,15.12
162,1,15.13
162,4,14.84
162,6,15.24
162,9,16.16
162,11,15.14
162,12,13.85
162,13,15.17
162,14,14.34
162,15,15.21
163,1,14.33
163,4,15.99
163,6,14.22
163,9,14.48
163,11,14.3
163,12,12.98
163,13,15.19
163,14,14.22
163,15,13.74
164,1,14.7
164,4,13.56
164,6,14.44
164,9,14.93
164,11,14.11
164,12,13.86
164,13,14.54
164,14,15.11
164,15,14.23
165,1,14.19
165,4,14.36
165,6,14.53
165,9,15.06
165,11,14.63
165,12,14.72
165,13,15.4
165,14,15.28
165,15,14.28
166,1,14.29
166,4,14.59
166,6,14.37
166,9,13.93
166,11,13.63
166,12,14.61
166,13,14.31
166,14,14.83
166,15,14.7
167,1,14.79
167,4,15.06
167,6,14.21
167,9,13.93
167,11,13.22
167,12,15.33
167,13,15.18
167,14,15.12
167,15,14.77
168,1,13.99
168,4,15.69
168,6,14.84
168,9,14.82
168,11,14.89
168,12,15.97
168,13,14.16
168,14,14.7
168,15,13.99
169,1,15.22
169,4,14.27
169,6,14.27
169,9,15.29
169,11,14.65
169,12,15.22
169,13,13.89
169,14,14.35
169,15,14.65
170,1,14.09
170,4,14.48
170,6,14.31
170,9,14.84
170,11,15.11
170,12,15.73
170,13,14.14
170,14,15.32
170,15,14.98
171,1,13.99
171,4,14.76
171,6,14.89
171,9,14.65
171,11,15.18
171,12,14.47
171,13,13.82
171,14,15.21
171,15,14.92
172,1,14.74
172,4,15.27
172,6,14.76
172,9,15.54
172,11,15.43
172,12,14.95
172,13,14.5
172,14,14.24
172,15,14.34
173,1,13.01
173,4,15.27
173,6,14.2
173,9,14.48
173,11,15.14
173,12,14.99
173,13,14.64
173,14,14.88
173,15,14.42
174,1,14.5
174,4,14.52
174,6,13.99
174,9,15.46
174,11,13.86
174,12,14.85
174,13,15.74
174,14,14.65
174,15,15.28
175,1,15.01
175,4,14.31
175,6,14.63
175,9,14.73
175,11,13.95
175,12,14.47
175,13,14.74
175,14,14.36
175,15,13.82
176,1,14.87
176,4,15.16
176,6,14.58
176,9,14.54
176,11,14.72
176,12,13.94
176,13,15.51
176,14,14.47
176,15,14.65
177,1,14.36
177,4,14.39
177,6,14.45
177,9,14.71
177,11,15.24
177,12,14.45
177,13,14.69
177,14,14.37
177,15,15.38
178,1,14.47
178,4,15.43
178,6,14.46
178,9,15.18
178,11,15.4
178,12,14.34
178,13,13.76
178,14,14.83
178,15,15.05
179,1,15.1
179,4,14.87
179,6,15.01
179,9,14.59
179,11,14.64
179,12,15.23
179,13,14.95
179,14,15.79
179,15,14.62
180,1,15.37
180,4,15.19
180,6,15.56
180,9,14.35
180,11,14.5
180,12,14.48
180,13,14.87
180,14,15.31
180,15,14.57
181,1,13.94
181,4,14.58
181,6,14.91
181,9,15.37
181,11,15.23
181,12,14.04
181,13,13.96
181,14,14.81
181,15,14.4
182,1,15.0
182,4,15.11
182,6,14.08
182,9,15.45
182,11,14.51
182,12,14.8
182,13,15.32
182,14,14.37
182,15,15.29
183,1,14.46
183,4,13.89
183,6,14.8
183,9,14.47
183,11,14.97
183,12,15.13
183,13,13.75
183,14,13.85
183,15,14.9
184,1,13.53
184,4,13.6
184,6,13.65
184,9,13.92
184,11,14.66
184,12,14.18
184,13,14.83
184,14,14.53
184,15,13.44
185,1,14.65
185,4,14.17
185,6,14.39
185,9,14.96
185,11,15.12
185,12,14.77
185,13,14.87
185,14,13.87
185,15,14.61
186,1,13.92
186,4,15.18
186,6,16.1
186,9,14.13
186,11,14.28
186,12,15.12
186,13,14.71
186,14,14.71
186,15,14.45
187,1,13.78
187,4,14.82
187,6,14.21
187,9,15.04
187,11,14.06
187,12,14.46
187,13,13.91
187,14,15.0
187,15,14.67
188,1,14.06
188,4,14.61
188,6,15.27
188,9,15.05
188,11,14.19
188,12,13.63
188,13,14.08
188,14,14.51
188,15,15.0
189,1,13.28
189,4,15.82
189,6,14.34
189,9,15.79
189,11,14.56
189,12,15.06
189,13,14.84
189,14,14.61
189,15,14.44
190,1,14.67
190,4,14.76
190,6,14.35
190,9,14.62
190,11,14.57
190,12,15.09
190,13,15.53
190,14,15.35
190,15,15.83
191,1,15.04
191,4,14.83
191,6,14.67
191,9,13.73
191,11,14.42
191,12,14.14
191,13,14.2
191,14,14.56
191,15,14.53
192,1,14.1
192,4,14.52
192,6,14.1
192,9,15.53
192,11,14.4
192,12,14.08
192,13,14.12
192,14,14.78
192,15,15.28
193,1,14.57
193,4,15.72
193,6,14.66
193,9,15.74
193,11,15.44
193,12,14.1
193,13,13.7
193,14,14.26
193,15,14.31
194,1,13.72
