time,water,power,transport,medical,building,shake,location
95,1,10,7,0,3,0,12
95,2,10,7,0,8,0,18
100,5,3,6,0,4,0,2
100,0,3,0,10,8,0,3
100,2,6,10,3,3,0,3
100,1,7,7,0,7,0,10
100,6,9,3,0,8,1,15
100,5,9,7,0,4,0,15
105,1,3,2,0,7,0,2
105,8,1,6,0,4,1,2
105,10,0,5,1,5,0,3
105,3,0,10,6,6,0,3
105,8,8,10,0,10,0,8
110,6,3,9,0,0,1,2
110,9,0,2,3,9,0,3
110,9,5,10,4,9,0,3
110,9,7,0,5,5,0,5
110,8,5,6,0,4,1,8
110,5,7,8,0,9,0,8
110,4,0,8,0,9,0,8
110,4,1,6,7,10,0,9
110,8,7,3,0,8,0,19
115,4,1,7,0,4,0,2
115,2,3,1,0,10,0,8
115,10,6,0,0,10,0,8
115,10,2,1,9,9,0,9
115,10,7,8,3,10,0,9
115,1,0,3,4,1,0,9
115,0,9,10,5,10,0,9
115,7,5,6,0,6,0,15
115,7,6,2,0,1,0,15
115,10,1,6,0,0,0,18
120,6,1,0,10,10,0,1
120,10,2,9,0,1,0,19
125,0,9,5,0,10,0,2
125,3,8,6,0,0,0,2
125,10,8,8,0,0,0,4
125,9,10,5,10,1,0,9
125,9,2,10,2,3,0,11
125,6,8,8,4,8,0,11
125,1,5,1,0,0,0,14
125,7,4,9,0,8,0,15
125,4,9,9,0,10,0,15
130,6,9,5,0,5,0,2
130,10,0,2,0,6,0,3
130,3,4,0,2,10,0,6
130,10,1,10,0,9,0,8
130,8,4,6,0,10,0,8
130,0,3,9,0,9,0,15
135,3,9,8,9,9,0,1
135,9,9,1,6,2,0,1
135,8,5,3,9,4,0,6
135,10,9,10,4,3,0,6
135,7,8,10,0,6,0,8
135,8,10,4,0,6,0,10
135,9,7,10,0,0,0,13
135,4,0,0,0,10,0,15
135,10,10,5,0,0,0,18
140,3,0,10,10,6,0,1
140,2,4,4,0,2,0,2
140,5,1,1,3,2,0,3
140,2,6,6,10,1,0,3
140,7,10,10,4,10,0,6
140,8,5,5,2,10,0,6
140,10,10,0,2,10,0,9
140,6,10,10,0,1,0,12
145,0,8,2,8,10,0,1
145,8,10,5,7,4,0,1
145,4,10,10,5,3,0,3
145,10,10,8,0,10,0,4
145,5,0,10,0,7,0,10
145,10,7,7,9,9,1,11
145,8,10,10,0,2,0,14
145,9,6,9,0,0,0,19
150,5,0,4,4,10,0,1
150,7,0,4,8,3,0,3
150,3,1,5,0,8,0,8
150,10,1,4,3,8,0,9
150,7,10,7,0,10,1,12
150,5,6,2,0,10,0,19
155,5,8,2,0,10,0,4
155,2,7,2,5,9,0,6
155,0,1,3,2,8,0,6
155,2,3,6,0,5,0,8
155,3,10,1,0,1,1,8
155,0,10,5,0,6,0,8
155,9,7,0,0,3,0,8
155,0,8,10,10,9,0,9
155,10,8,4,5,0,0,9
155,0,1,2,0,3,0,15
155,8,10,6,0,1,0,19
160,0,3,10,0,1,0,2
160,10,3,4,10,8,0,3
160,8,5,2,10,7,1,6
160,5,3,6,0,10,0,8
160,10,10,5,1,8,0,9
160,5,5,10,0,4,0,14
160,10,10,10,0,9,0,16
165,10,8,8,2,4,0,2
165,9,2,10,0,7,0,2
165,7,10,0,0,10,0,6
165,6,5,6,10,10,0,11
165,0,0,8,0,7,0,15
165,7,4,2,0,8,0,19
170,7,7,5,10,8,0,5
170,9,9,7,10,4,0,6
170,3,3,3,1,10,0,6
170,6,10,10,0,5,1,8
170,5,8,9,8,10,0,9
170,3,6,10,5,4,0,9
170,0,1,0,0,7,0,10
170,0,1,8,0,3,0,11
170,10,4,3,0,10,0,15
170,6,9,6,0,7,0,15
170,3,4,10,0,8,0,15
175,10,10,10,0,5,0,2
175,6,3,9,1,10,0,6
175,10,4,0,3,3,0,9
175,4,10,7,0,9,0,9
175,10,3,1,5,4,0,11
175,3,8,7,0,0,0,12
175,1,1,8,0,4,0,15
175,10,0,3,10,10,0,16
180,10,2,0,10,10,0,1
180,2,2,10,0,2,0,2
180,6,8,3,0,4,0,2
180,0,0,9,0,5,1,2
180,4,10,3,2,2,0,3
180,4,2,2,7,1,0,5
180,9,3,2,4,2,0,6
180,0,7,5,0,0,0,8
180,3,1,8,3,3,0,11
180,3,9,5,0,1,0,12
180,8,8,1,0,5,0,14
180,7,6,7,0,4,1,15
180,2,10,10,0,7,0,19
185,4,9,8,8,7,0,1
185,10,2,1,0,4,0,2
185,3,10,4,10,2,1,3
185,7,6,1,8,6,0,3
185,5,10,7,4,10,0,6
185,8,9,9,10,9,0,6
185,0,9,4,0,3,0,8
185,0,9,8,6,10,0,9
190,10,4,5,0,10,0,2
190,5,2,6,7,4,0,6
190,10,2,2,8,3,0,6
190,10,3,6,0,2,0,14
190,4,4,0,0,6,0,15
190,0,6,10,0,1,0,18
195,6,7,7,0,9,0,2
195,5,9,10,2,10,0,6
195,6,5,6,0,9,0,8
195,9,0,9,0,3,0,8
195,10,10,10,2,6,0,9
195,3,6,0,0,7,0,15
195,7,5,7,0,10,0,18
200,4,9,8,0,7,0,2
200,7,0,0,10,9,0,6
200,7,10,2,0,5,0,8
200,0,8,10,0,10,0,10
200,1,5,5,0,4,0,15
205,4,0,1,0,3,0,2
205,10,1,2,10,4,0,5
205,9,3,10,8,9,0,6
205,8,8,3,2,2,1,6
210,3,1,7,0,9,0,2
210,4,8,6,2,2,0,6
215,10,0,3,0,9,0,2
215,10,0,5,0,10,0,3
215,1,2,5,10,10,0,3
215,4,8,7,10,9,0,9
215,9,1,0,8,9,0,9
215,4,5,10,0,7,0,12
215,7,6,1,0,8,1,15
215,10,8,1,10,9,0,16
220,4,3,6,0,8,1,2
220,8,8,2,8,10,0,5
220,10,8,1,5,10,0,6
220,10,0,8,0,5,0,8
220,0,4,9,0,4,1,8
220,1,10,5,9,7,0,9
220,4,2,2,3,2,1,16
220,0,4,1,0,1,0,19
225,2,7,0,2,1,0,3
225,3,1,1,0,2,0,4
225,1,5,4,2,10,0,5
225,7,4,1,1,0,1,5
225,1,3,0,0,2,0,8
225,10,0,0,4,7,0,9
225,6,0,2,0,6,0,15
225,1,0,7,0,8,0,15
230,2,0,10,3,4,0,1
230,9,0,8,0,9,0,2
230,4,6,6,5,6,0,6
230,8,2,2,5,10,0,6
230,1,10,4,0,5,0,8
230,10,0,10,0,1,0,14
230,8,6,9,0,8,0,18
235,10,0,7,3,0,0,6
235,4,3,3,0,8,0,8
235,7,1,9,0,9,0,8
235,7,4,8,0,1,0,15
240,9,10,0,0,10,0,2
240,3,7,6,4,10,0,6
240,9,2,4,7,7,0,6
240,3,0,9,6,9,0,6
240,4,8,6,10,3,1,6
240,4,9,9,0,1,0,8
240,2,1,0,0,8,0,8
240,5,8,7,5,7,0,11
240,5,10,8,0,6,0,19
245,4,2,10,0,8,0,2
245,10,9,0,6,10,0,3
245,10,5,5,8,9,0,6
245,5,10,10,0,7,0,8
245,3,3,2,0,2,0,8
245,4,5,3,6,3,0,9
245,8,4,9,0,10,0,14
245,3,5,10,0,2,0,15
245,3,10,7,0,9,0,18
250,6,10,10,0,4,0,8
250,8,6,6,0,2,0,8
250,1,0,0,0,5,0,8
250,0,8,2,0,0,0,8
250,10,10,0,0,8,0,9
250,10,6,2,0,2,0,15
250,4,5,7,3,8,0,16
250,2,6,10,0,3,0,17
255,3,8,3,3,6,0,1
255,3,2,9,0,10,0,2
255,5,5,9,0,8,0,2
255,4,1,9,0,9,0,4
255,5,10,10,1,7,0,5
255,10,0,8,3,1,0,5
255,5,3,3,9,10,0,5
255,10,9,10,8,6,0,6
255,10,4,8,0,1,0,8
255,7,5,5,0,5,0,8
255,10,7,3,10,4,0,9
255,7,1,10,0,1,0,14
260,8,4,8,8,8,0,6
260,1,3,10,6,10,0,6
260,10,9,8,10,1,0,9
260,0,5,3,0,2,0,15
260,0,0,5,0,7,0,19
265,10,5,6,0,1,0,2
265,5,4,10,0,3,0,4
265,3,10,9,10,3,0,6
265,8,6,5,3,5,0,6
265,7,10,10,0,2,0,8
265,3,8,5,0,10,0,14
265,9,10,6,0,6,0,15
270,1,5,10,5,2,0,6
270,6,1,9,0,1,0,8
270,7,8,9,0,6,0,8
270,10,8,10,2,1,0,9
270,6,4,4,3,10,0,9
270,9,4,3,0,10,1,10
270,7,10,4,0,5,0,14
270,10,10,9,0,8,1,15
275,10,3,3,0,10,1,2
275,8,0,8,0,9,0,8
275,10,1,10,0,2,0,14
275,9,10,0,0,6,0,15
275,5,6,10,0,10,0,15
280,10,3,7,8,2,0,1
280,5,7,10,0,1,0,2
280,1,0,0,0,6,0,15
280,2,4,4,0,5,0,19
285,3,10,10,3,6,0,5
285,7,6,4,10,0,0,6
285,10,9,5,0,5,1,8
285,10,1,10,0,3,0,15
290,8,10,10,4,2,0,5
290,3,7,7,0,10,0,14
290,3,7,3,0,4,0,15
290,1,3,0,0,8,0,18
295,8,8,0,0,8,0,8
295,5,7,4,10,3,0,9
295,10,3,3,7,8,0,9
295,6,7,6,0,7,0,14
300,0,1,0,0,8,0,2
300,0,10,10,0,3,0,2
300,3,2,1,0,3,0,15
300,1,4,4,0,5,0,19
305,10,6,6,0,6,0,2
305,6,9,2,0,2,1,2
305,0,8,0,7,10,0,5
305,2,10,8,6,10,1,6
305,8,5,2,0,5,0,15
310,10,4,4,0,9,0,2
310,7,3,9,1,8,0,6
310,10,3,3,5,4,0,6
310,5,4,7,3,10,0,6
310,6,6,9,3,2,0,6
310,7,9,10,0,3,0,12
310,5,9,8,0,10,0,15
310,9,6,4,4,5,0,16
315,0,3,10,0,8,0,2
315,6,5,5,0,4,0,4
315,3,10,10,10,8,1,5
315,4,0,0,0,0,1,8
315,2,8,1,0,10,0,10
315,10,5,7,0,10,0,15
315,8,10,6,4,8,1,16
315,10,8,2,0,0,0,18
320,10,10,0,7,5,0,1
320,10,3,3,0,2,0,2
320,3,10,3,4,9,0,3
320,4,7,10,4,6,0,3
320,10,3,8,4,5,0,6
320,2,2,8,1,10,0,6
320,6,3,4,0,4,0,8
320,8,8,2,0,0,0,8
320,2,1,2,0,3,0,8
320,10,6,4,0,7,0,12
320,1,4,0,0,6,0,14
320,10,8,10,0,3,0,15
320,5,8,9,0,10,0,18
325,5,9,7,0,1,0,4
325,9,6,1,1,7,0,9
325,5,10,0,5,1,0,9
325,10,0,10,2,5,0,11
325,8,8,0,0,10,0,15
325,10,6,0,0,7,0,18
330,3,9,5,0,9,0,2
330,0,3,10,9,3,0,3
330,0,10,10,5,2,0,5
330,2,5,9,8,3,0,6
330,10,4,1,0,4,0,15
330,5,10,8,0,9,0,18
335,2,6,2,4,3,1,3
335,10,1,9,4,7,0,6
335,5,0,4,6,10,1,6
335,1,6,9,0,6,0,8
335,2,3,3,0,7,0,9
335,10,8,9,0,1,0,15
335,4,4,6,0,10,0,19
340,0,10,1,2,9,0,3
340,7,10,10,6,1,0,3
340,7,5,5,9,4,0,3
340,9,10,5,8,9,0,5
340,3,0,0,7,8,0,6
340,9,7,10,10,9,0,9
340,5,6,5,0,6,0,15
340,0,7,10,6,1,0,16
340,7,4,10,8,10,0,16
340,0,5,2,0,10,0,17
345,1,10,10,10,6,0,3
345,10,4,0,6,10,0,3
345,9,6,3,1,8,0,5
345,10,5,10,10,3,0,6
345,0,3,1,0,0,0,7
345,10,4,8,0,1,1,8
345,10,8,7,9,8,0,9
345,7,10,7,1,10,0,9
345,7,6,4,2,10,0,9
345,4,8,8,0,7,0,14
345,4,0,7,0,3,0,15
350,1,5,10,0,8,0,8
350,1,2,3,0,10,0,15
350,6,3,10,0,4,0,15
350,0,9,4,0,6,0,18
355,6,7,7,0,9,0,2
355,10,8,5,0,5,0,4
355,5,7,3,9,3,0,5
355,6,6,6,2,1,0,6
355,10,3,1,10,4,0,6
355,9,9,4,2,6,0,9
355,1,2,1,0,9,0,14
355,1,3,6,0,10,0,15
355,0,10,3,10,0,0,16
355,5,8,10,0,10,0,18
360,1,9,8,0,3,0,2
360,8,0,7,4,10,0,3
360,0,9,4,0,9,0,8
360,8,8,3,0,4,0,8
360,0,2,1,0,10,0,12
360,7,1,1,0,6,1,14
360,4,0,1,0,8,0,19
360,9,7,3,0,5,0,19
365,2,5,1,10,8,0,6
365,10,7,1,5,3,0,6
365,0,9,6,0,3,0,8
365,10,10,6,3,3,0,9
365,5,8,4,0,8,0,14
365,9,9,5,10,4,0,16
370,3,10,3,7,7,0,3
370,3,8,9,5,1,0,3
370,5,1,8,9,8,0,3
370,9,5,3,3,3,0,3
370,1,6,1,8,9,0,6
370,5,10,5,0,10,0,6
370,2,7,4,0,5,0,6
370,6,7,5,0,8,0,8
370,10,4,6,0,8,0,8
370,0,10,6,0,7,0,8
370,0,9,7,1,4,0,9
370,10,10,3,7,10,1,11
370,1,5,1,0,5,0,15
370,10,0,6,0,7,0,15
370,4,0,5,0,5,0,15
370,5,0,1,10,3,0,16
370,7,10,7,0,10,0,19
375,1,7,7,0,1,0,2
375,3,10,1,6,10,0,3
375,4,3,5,10,2,0,6
375,10,10,4,8,10,1,6
375,10,1,7,0,5,0,8
375,9,1,6,2,9,0,9
375,3,6,1,0,10,0,10
375,3,3,10,0,3,0,14
375,4,7,10,0,10,0,14
375,6,3,10,0,5,0,19
380,7,4,7,0,1,0,8
380,6,3,3,7,8,0,16
385,10,4,0,4,10,1,1
385,1,3,7,0,0,0,2
385,7,10,4,6,6,0,3
385,10,4,9,9,0,0,3
385,9,10,2,4,9,0,5
385,6,0,10,0,10,0,9
385,5,9,8,0,4,0,15
385,7,10,6,0,6,0,15
385,0,0,7,7,10,0,16
390,10,10,0,10,2,0,1
390,0,9,10,0,9,0,2
390,2,8,10,0,9,0,3
390,1,7,3,7,10,0,5
390,0,3,3,9,1,0,5
390,1,9,5,6,3,0,6
390,0,9,9,1,4,0,6
390,4,7,4,0,2,0,10
390,6,6,7,0,3,0,13
390,3,7,8,0,1,0,15
390,3,5,8,0,4,0,15
390,10,0,3,9,0,0,16
395,0,3,5,1,6,0,3
395,5,8,4,0,7,0,8
395,4,3,10,0,10,0,8
395,4,10,9,0,8,0,10
395,0,8,9,0,10,0,14
395,5,6,10,0,10,0,15
400,5,1,9,0,1,0,1
400,10,10,0,0,10,0,2
400,10,4,6,0,10,0,3
400,3,9,7,10,0,0,9
400,4,10,10,0,0,0,12
400,5,4,3,0,6,0,15
400,4,1,7,0,7,0,17
405,5,4,5,8,4,0,6
405,2,4,10,0,2,0,8
405,0,7,10,9,9,0,9
405,1,5,9,0,0,0,15
405,7,2,3,4,4,0,16
410,5,3,2,1,8,0,1
410,5,5,6,0,3,0,4
410,8,7,6,3,8,0,6
410,1,8,5,0,6,0,8
410,5,1,10,0,10,0,15
410,10,10,0,0,10,0,15
410,9,10,3,0,1,0,18
415,10,7,0,3,5,0,5
415,8,4,5,3,2,0,6
415,8,8,1,0,5,0,8
415,0,1,10,1,7,0,9
415,0,10,8,1,4,1,9
415,9,1,9,0,1,0,10
415,10,7,0,0,2,0,15
415,10,1,9,0,3,0,19
420,3,7,8,10,5,0,1
420,3,0,3,0,7,0,2
420,7,9,3,0,6,0,2
420,7,0,5,7,3,0,3
420,3,9,7,1,0,1,5
420,10,7,9,8,10,0,6
420,0,4,9,0,0,0,7
420,7,7,3,0,6,0,8
420,9,3,6,1,2,0,9
420,7,0,9,1,4,0,9
420,0,8,8,1,5,0,9
420,1,10,10,0,9,0,15
425,2,10,1,0,5,0,2
425,9,7,1,5,10,0,6
425,0,6,5,0,1,0,8
425,5,8,9,0,4,0,8
425,9,10,10,3,5,0,9
425,3,4,7,0,3,0,10
425,5,2,1,0,10,0,13
425,3,9,9,0,3,0,15
430,6,9,7,9,7,0,3
430,7,0,9,0,2,0,4
430,10,3,2,10,9,0,6
430,9,5,10,0,8,0,8
430,2,8,9,0,1,0,8
430,10,4,10,4,8,0,9
430,3,6,1,10,4,0,9
430,3,10,4,0,2,0,12
430,6,7,9,0,0,0,14
430,0,5,0,0,7,0,17
430,9,9,2,0,3,1,17
430,10,2,1,0,1,0,17
430,10,2,3,0,4,0,18
430,4,4,9,0,6,0,19
430,6,10,1,0,8,0,19
430,4,3,6,0,10,0,19
435,5,4,8,2,2,0,1
435,6,0,10,0,10,0,2
435,7,8,10,0,0,0,3
435,6,3,0,10,3,0,3
435,3,6,10,1,10,0,6
435,1,3,3,0,1,0,8
435,10,0,6,10,9,1,9
435,6,3,4,0,9,0,10
435,2,10,9,0,0,0,14
435,9,7,1,0,10,0,15
435,10,2,6,0,6,0,15
440,5,0,9,0,3,0,2
440,8,10,9,9,5,0,3
440,4,7,4,7,7,0,3
440,1,6,5,0,8,0,4
440,6,4,7,10,3,0,6
440,4,6,1,0,10,0,8
440,3,10,4,10,10,0,9
440,3,4,10,9,0,0,16
440,3,2,1,0,3,0,17
445,0,9,10,0,9,0,2
445,10,4,5,0,5,0,2
445,6,1,6,10,2,0,3
445,6,8,8,5,4,0,3
445,4,4,10,9,6,0,6
445,8,10,5,1,8,0,6
445,9,8,9,0,4,0,9
445,10,9,9,1,10,0,11
445,10,0,3,0,6,0,12
445,1,2,7,0,7,0,14
445,2,7,1,0,6,0,14
445,1,6,6,0,4,0,15
450,1,0,10,1,5,0,6
450,7,1,6,6,6,0,6
450,8,4,5,0,1,0,8
450,2,8,7,8,4,0,9
450,0,9,5,0,10,1,14
450,7,10,10,0,7,0,15
450,4,7,5,0,6,0,19
450,10,4,2,0,8,0,19
450,6,6,3,0,10,0,19
455,6,9,4,0,5,0,2
455,6,2,5,9,1,0,3
455,4,1,8,3,4,0,6
455,6,0,5,1,5,0,9
455,5,9,10,5,10,0,9
455,7,10,8,0,10,0,10
455,5,1,3,0,1,0,15
455,5,0,7,0,9,0,15
455,3,10,10,0,6,0,15
455,0,6,5,0,1,0,15
455,4,5,9,0,9,0,15
455,8,10,1,1,10,0,16
460,3,2,1,4,10,0,1
460,5,3,2,6,10,0,1
460,4,3,7,10,7,0,6
460,3,5,10,3,2,0,6
460,6,6,9,0,6,0,8
460,5,2,2,0,3,0,14
460,10,3,9,0,5,0,15
465,10,9,3,10,9,0,6
465,2,7,9,0,8,0,6
465,8,8,5,0,2,0,8
465,1,8,8,0,9,0,8
465,10,5,1,0,4,0,10
465,10,4,10,0,7,0,13
465,0,10,1,2,10,0,16
465,8,9,1,0,2,0,17
470,7,3,10,6,2,1,3
470,0,5,3,0,8,0,12
470,0,0,1,0,10,0,12
470,3,9,8,0,2,0,14
470,8,2,7,0,1,0,14
470,10,0,8,0,4,0,15
470,3,1,7,0,1,0,15
470,6,9,0,0,10,1,19
475,1,6,10,5,7,0,6
475,10,2,2,3,3,1,6
475,3,0,1,10,9,0,9
475,7,6,7,0,0,0,10
475,3,10,4,0,3,0,15
475,2,6,7,6,8,0,16
475,1,9,0,0,5,0,19
475,10,8,1,0,4,0,19
475,3,10,7,0,5,0,19
480,6,6,10,10,4,0,3
480,3,6,0,9,2,0,3
480,8,10,10,10,10,0,3
480,1,6,4,0,8,0,4
480,6,10,2,0,4,0,8
480,10,10,9,0,4,0,13
485,6,4,7,10,0,0,1
485,5,5,2,0,5,0,8
485,10,3,10,0,7,0,8
485,10,10,2,0,10,0,8
485,5,10,3,10,3,0,9
485,10,10,10,0,8,0,14
490,10,10,8,0,3,0,2
490,2,2,10,0,8,0,2
490,1,4,5,0,6,0,2
490,9,0,4,6,2,0,3
490,3,0,10,7,3,0,3
490,7,2,1,0,4,0,4
490,7,8,3,8,0,0,6
490,8,10,10,0,10,0,8
490,0,7,9,0,2,0,14
495,9,10,10,0,5,0,2
495,8,5,6,9,6,0,5
495,2,5,5,1,2,0,9
495,9,9,10,10,10,0,11
495,10,0,8,0,4,0,15
495,10,6,1,10,2,0,16
500,4,10,10,9,10,0,1
500,5,1,4,0,7,0,2
500,5,8,10,10,8,0,3
500,5,4,7,10,1,0,3
500,6,5,0,10,5,0,3
500,10,8,5,0,8,0,3
500,6,7,10,0,7,0,9
500,10,2,9,0,4,0,14
505,2,1,4,0,4,0,2
505,8,0,6,0,8,0,2
505,7,10,8,3,3,0,3
505,0,1,5,1,1,0,3
505,4,4,0,3,0,0,3
505,1,3,4,5,10,0,6
505,6,2,10,10,3,0,6
505,0,10,10,0,1,0,8
505,8,2,5,4,4,0,9
505,2,2,8,0,2,0,13
505,8,0,4,0,4,0,15
505,1,0,10,10,4,0,16
505,6,5,1,0,4,1,17
505,3,4,4,0,4,0,18
510,0,5,10,5,7,0,1
510,6,5,10,0,6,0,5
510,9,10,3,8,6,0,6
510,10,7,1,2,4,1,6
510,0,1,10,0,0,0,8
510,2,7,8,0,8,0,10
510,1,10,2,0,2,0,10
510,3,8,5,0,3,1,13
510,1,1,10,0,0,0,14
510,1,5,3,0,0,0,18
515,1,6,8,6,1,0,3
515,4,3,0,5,4,1,6
515,5,6,0,0,1,0,8
515,8,10,0,4,4,0,9
515,0,0,10,0,7,0,10
515,2,1,10,0,4,0,13
515,3,0,4,0,5,0,14
515,0,2,9,0,0,0,15
520,5,9,2,0,8,0,2
520,10,4,2,0,7,0,2
520,0,5,8,8,10,0,3
520,2,2,1,0,0,0,8
520,4,0,5,0,1,0,9
520,8,7,10,2,0,0,9
520,5,0,4,0,4,0,14
520,6,3,0,0,6,0,15
520,8,6,10,0,10,0,17
520,8,4,5,0,3,0,18
525,9,6,0,0,4,0,2
525,4,0,6,0,10,0,3
525,3,10,10,9,1,0,5
525,10,5,8,10,10,0,6
525,3,4,10,0,1,0,8
525,2,10,10,0,5,0,8
525,9,3,9,0,10,0,15
525,5,1,9,0,2,0,18
525,9,6,4,0,7,0,18
525,9,1,8,0,9,0,19
530,3,10,4,0,8,0,2
530,6,1,0,9,1,0,5
530,8,2,4,8,4,0,9
530,2,7,10,7,6,0,9
530,4,6,10,10,4,0,9
530,0,9,8,0,1,1,10
530,3,8,8,0,10,0,15
530,4,5,9,0,0,1,15
530,0,4,8,0,8,0,15
530,8,3,8,0,1,0,19
535,4,0,10,4,0,0,6
535,4,10,3,0,3,0,8
535,0,10,2,10,4,0,9
535,10,6,2,0,10,0,18
540,0,5,6,10,5,0,5
540,3,1,0,0,6,0,14
540,7,0,4,0,10,0,14
540,1,4,10,0,1,0,17
540,2,3,3,0,0,0,19
545,7,9,2,0,0,0,2
545,9,10,1,8,3,0,3
545,1,5,10,10,4,1,5
545,10,6,6,1,4,0,6
545,0,2,9,0,6,0,8
545,4,5,8,7,5,0,9
545,0,9,2,7,6,1,9
545,0,2,7,0,10,0,12
545,5,4,2,0,5,0,17
550,8,7,3,0,9,0,2
550,6,0,10,10,2,0,3
550,6,10,8,4,9,0,5
550,1,4,5,7,0,0,6
550,9,8,1,6,7,0,9
550,5,9,7,0,2,0,10
550,5,6,0,0,10,0,11
550,4,10,0,0,10,0,12
550,10,10,10,0,10,0,14
550,9,10,6,0,6,0,15
550,7,7,5,0,4,1,18
550,10,2,4,0,7,0,18
555,6,1,6,10,10,0,1
555,6,9,5,0,2,1,2
555,0,4,0,0,4,0,3
