time,location,account,cluster,word
470,10,ObnoxiousFPlate13,medical,death
473,11,Jimmie59,food,food
473,15,LawrenceObnoxiousL,nuclear,nuclear
473,15,LawrenceObnoxiousL,power,power
474,1,MarthaGuapoHolland,quake,quake
476,5,CleverBeverlyCandy,quake,quake
477,15,Angela1956,power,power
477,15,Angela1956,power,power
477,2,Joseph_GoodmanBird88,power,power
478,15,J93Wronski,medical,death
480,6,AlwaysSafePowerCompany,nuclear,nuclear
480,6,AlwaysSafePowerCompany,power,power
481,10,Janette30S,power,power
482,12,CuriousPlateJesse,power,power
483,19,Regina_ZeilerCat2,power,power
484,19,M1959Kamnik,nuclear,nuclear
484,19,M1959Kamnik,power,power
484,19,M1959Kamnik,water,water
484,4,AlwaysSafePowerCompany,power,power
485,9,LovesMarcusCat,food,food
487,11,CandidKBowl,power,power
487,3,Duane_Maisel44,water,water
489,16,PAttentativeLittle,power,power
489,16,PAttentativeLittle,power,communication
500,13,Sarah2017B,power,power
507,9,ClaraTallF,food,food
508,4,Luis_WilliamsBird61,water,water
513,9,JAttentativeDewitt,power,power
517,9,BusyCandyManning,food,food
520,13,M1968Jones,power,power
521,6,BusyPamelaCouch,nuclear,nuclear
521,6,BusyPamelaCouch,power,power
523,9,AObnoxiousWinebrenner,nuclear,nuclear
523,9,AObnoxiousWinebrenner,power,power
524,15,WilliamBusyStgermain,nuclear,nuclear
524,15,WilliamBusyStgermain,power,power
525,16,CandidPlateMiles_Parrott,nuclear,nuclear
525,16,CandidPlateMiles_Parrott,power,power
528,11,RunsHammondWhale,nuclear,nuclear
528,11,RunsHammondWhale,power,power
529,11,CuriousTBread,power,power
531,16,Ben_Garrison12,nuclear,nuclear
531,16,Ben_Garrison12,power,power
532,10,CleverBakerCandy,nuclear,nuclear
532,10,CleverBakerCandy,power,power
533,3,HoldsRuby_BrewerLion,food,food
534,9,Bradley_TaylorFish86,nuclear,nuclear
534,9,Bradley_TaylorFish86,power,power
535,2,FuriousHBowl,nuclear,nuclear
535,2,FuriousHBowl,power,power
537,11,CandidKBowl,nuclear,nuclear
537,11,CandidKBowl,power,power
542,10,Richard_FleetwoodDog2005,nuclear,nuclear
542,10,Richard_FleetwoodDog2005,power,power
547,14,AttentativeCHouse,food,food
549,17,Jose_AikmanBird1964,nuclear,nuclear
549,17,Jose_AikmanBird1964,power,power
553,6,CeravoloWhale1992,quake,quiver
562,19,LazyMassenburgBanana55,food,food
563,9,WillieFleetMoore,rescue,fire
563,5,TCuriousJ,water,water
566,5,WileyJamesCouch,food,food
575,18,DarkCollettBanana61,nuclear,nuclear
576,16,RacesAndrewMouse,power,power
578,16,SmartKCandy,food,food
581,13,Sarah2017B,food,food
598,8,HoldsRunyonLion,food,food
609,16,JaniceObnoxiousGoldberg,food,food
610,5,FastTBanana,food,food
611,8,Jason1999,power,power
611,8,Jason1999,quake,quake
611,15,RunsAnthony_TranBear,food,food
616,3,Groce2019,nuclear,nuclear
616,15,Elizabeth75,food,food
617,3,K2013Kozak,food,food
620,13,AttentativeMooresCar,food,food
622,16,RacesPamHorse,water,water
624,2,Mary5Taylor,food,food
625,10,CandidRBanana,food,food
625,6,FastHCouch25,food,food
629,15,FamousBLight2000,food,food
631,15,Cummings26,food,food
632,18,DarkChamplinIcecream,power,power
632,18,DarkChamplinIcecream,water,water
632,18,DarkChamplinIcecream,nuclear,nuclear
633,2,LovesWilliamMouse,food,food
634,15,FleetMCandy2013,food,food
635,14,RacesDavid_MeyerMouse,food,food
636,9,CandidTBread,food,food
636,12,TallLCandy,medical,die
637,6,GuapoBCouch,food,food
639,5,Amanda1954R,food,food
639,15,CleverMichealHouse,power,power
639,15,CleverMichealHouse,water,water
639,15,CleverMichealHouse,nuclear,nuclear
640,2,NormanFish1994,power,power
640,2,NormanFish1994,water,water
640,2,NormanFish1994,nuclear,nuclear
640,3,FearsRobertWhale,food,food
641,13,FleetPCar1976,food,food
641,15,SherriLazyHernandez,power,power
641,15,SherriLazyHernandez,water,water
641,15,SherriLazyHernandez,nuclear,nuclear
642,17,StevenDog12,food,food
642,1,TallBreadJoseph,power,power
642,1,TallBreadJoseph,water,water
642,1,TallBreadJoseph,nuclear,nuclear
644,5,ObnoxiousWellsPlate,power,power
644,5,ObnoxiousWellsPlate,water,water
644,5,ObnoxiousWellsPlate,nuclear,nuclear
644,17,Katherine_Tillman91,food,food
645,13,VirginiaGuapoR,food,food
646,8,FuriousHouseAvery,food,food
647,6,LazyJBread,food,food
648,5,LovesNancy_KidderOctopus,power,power
648,5,LovesNancy_KidderOctopus,water,water
648,5,LovesNancy_KidderOctopus,nuclear,nuclear
648,12,DianaBear1979,food,food
649,18,FuriousBCar1978,food,food
650,15,RogerHorse1955,power,power
650,15,RogerHorse1955,water,water
650,15,RogerHorse1955,nuclear,nuclear
651,11,Jane_ReeseHorse21,food,food
651,14,FleetDeborahCar,medical,die
651,18,CleverPlateManuel,power,power
651,18,CleverPlateManuel,water,water
651,18,CleverPlateManuel,nuclear,nuclear
652,17,AttentativeIcecreamMichelle,food,food
654,17,Adrian_Solis65,food,food
656,2,WileyMclaughlinBowl61,food,food
657,3,WatchesMielkeMouse,food,food
657,9,LovesRichard_CiaburriMouse,power,power
657,9,LovesRichard_CiaburriMouse,water,water
657,9,LovesRichard_CiaburriMouse,nuclear,nuclear
658,15,TallHCandy11,food,food
659,12,ObnoxiousIcecreamCarolyn,food,food
661,11,ObnoxiousGCouch,food,food
663,15,FearsBornOctopus,power,power
663,15,FearsBornOctopus,water,water
663,15,FearsBornOctopus,nuclear,nuclear
663,11,DFamousChaplin,food,food
664,19,TallMLight,food,food
664,16,Brendon28,food,food
664,5,TallChastainBread,nuclear,nuclear
664,5,TallChastainBread,water,water
664,10,CastilloDog1978,power,power
664,10,CastilloDog1978,water,water
664,10,CastilloDog1978,nuclear,nuclear
665,6,Brittany_SanchezDog61,food,food
667,1,LovesRaymondOctopus,food,food
667,17,SmartBreadErin_Cable,food,food
672,17,David34Ing,food,food
673,2,LazyJoannHouse,power,power
673,2,LazyJoannHouse,water,water
673,2,LazyJoannHouse,nuclear,nuclear
673,5,GuapoKCouch,food,food
674,15,BusyBIcecream39,food,food
677,13,SObnoxiousWhite,food,food
678,6,LovesJulieWhale,transport,road
679,5,RacesHancockBird,food,food
681,18,CleverPlateManuel,water,water
682,15,FastCouchAmy_Romanowski,power,power
682,15,FastCouchAmy_Romanowski,water,water
682,15,FastCouchAmy_Romanowski,nuclear,nuclear
683,15,ObnoxiousDianneCouch,food,food
683,9,SmartGCar,food,food
685,5,CandidRBread72,food,food
686,3,FamousBowlSeitz,food,food
688,15,HoldsKarrieCat,food,food
689,15,Michael_Gary80,food,food
689,15,TallDBread,nuclear,nuclear
689,15,TallDBread,power,power
695,15,FastCHouse,food,food
696,15,LazyCarSchaffer,food,food
698,15,Corey_LathropWhale31,power,power
698,16,CleverGaryBanana,food,food
699,11,CuriousLBanana,food,food
699,19,LazySharpCandy44,food,food
701,2,LovesWilliamMouse,food,food
702,1,Jonathan_BrownFish89,volunteer,crew
706,1,HoldsRebecca_HerstadMouse,medical,death
707,16,Charles2000,food,food
713,6,CandidLBread,quake,earthquake
721,13,GregoryFleetPerry,medical,death
721,13,GregoryFleetPerry,medical,death
721,16,BusyScottBowl,nuclear,nuclear
721,16,BusyScottBowl,nuclear,nuclear
725,9,FamousBroadwayLight,food,food
725,9,FamousBroadwayLight,nuclear,nuclear
725,9,FamousBroadwayLight,power,power
725,9,FamousBroadwayLight,nuclear,nuclear
725,9,FamousBroadwayLight,power,power
727,1,Wesley_RodriguezLion1969,rescue,fire
727,1,Wesley_RodriguezLion1969,transport,road
727,8,FamousOCar1984,quake,quake
730,9,KarenFleetPeterson,medical,die
732,6,TallABowl1971,volunteer,crew
740,5,Scoles2019,food,food
743,15,RacesJoan_MurphyOctopus,food,food
744,5,CandidScottIcecream2000,water,water
746,8,LovesIona_OxleyBear,transport,bridge
750,5,PhilipWileyParker,nuclear,nuclear
750,5,PhilipWileyParker,power,power
768,2,TallDwayneBowl,food,food
770,15,FuriousTBread,food,food
771,17,Frances93B,medical,die
772,11,Wendell_Walker2012,food,food
774,8,JObnoxiousAntolin,quake,hazard
779,15,CaldwellLion1978,power,communication
779,11,HFamousHutcherson,nuclear,nuclear
779,11,HFamousHutcherson,power,power
779,11,HFamousHutcherson,water,water
785,8,EricObnoxiousC,food,food
790,15,RacesLorenaOctopus,nuclear,nuclear
790,15,RacesLorenaOctopus,power,power
799,6,Lina1996,food,food
803,6,Vivian91S,medical,die
812,15,FearsGudrunLion,transport,bridge
814,1,FearsRossBird,nuclear,nuclear
814,1,FearsRossBird,power,power
823,14,SmartCalvertLight,food,food
825,2,WileyLCandy,quake,vibrate
835,6,CuriousKBread,medical,death
837,15,CandidCandyCalvin_Holzinger,food,food
842,9,FamousIlaBanana,quake,tremble
847,19,DarkJohnsonBowl,food,food
851,13,MCuriousM,food,food
863,16,CleverMBowl,food,food
867,4,GuapoSBowl,food,food
871,1,LazyGloverPlate42,water,water
873,4,Earthquake Prediction Center,quake,earthquake
876,4,AlwaysSafePowerCompany,quake,earthquake
876,4,AlwaysSafePowerCompany,power,power
876,3,Mrs.Tillenbottom,food,food
878,15,SmartCandyCrutchfield,power,power
878,13,DerekNolan,quake,earthquake
879,3,MargaretFastF,food,food
879,3,MargaretFastF,food,food
879,4,FieldEngineerPhillipCarter,quake,earthquake
879,4,FieldEngineerPhillipCarter,quake,shake
880,10,ChemistryTeacherRichardNelson,quake,earthquake
880,2,TonyPeterson,quake,earthquake
880,6,TVHostBrad,quake,earthquake
880,19,RachelSimmons,quake,earthquake
882,11,RosesAreTheBestFlower,quake,tremble
882,8,ChloeJohnson,quake,earthquake
882,1,nobodyshome,quake,earthquake
882,1,nobodyshome,quake,earthquake
884,13,DerekNolan,power,power
884,-1,CelebrityBrattyMatty,quake,earthquake
885,4,AlwaysSafePowerCompany,quake,earthquake
885,1,Melissa_Reece1991,quake,earthquake
885,1,Melissa_Reece1991,power,power
886,1,LazyAPlate,quake,earthquake
886,18,DarkGBanana,quake,earthquake
886,11,JoanBird2008,quake,earthquake
887,15,WatchesTerrie_NolandDog,quake,earthquake
888,11,RunsSybertLion,quake,tremble
888,9,FamousWBowl1973,quake,earthquake
889,3,AttentativeDouglasIcecream,quake,wobble
889,10,SmartVelazquezCandy,quake,wobble
889,12,Mary2Redmond,quake,earthquake
889,13,Jerome_Hussein1956,quake,earthquake
889,18,AttentativeBananaGentry,quake,shake
889,16,Bernard32Gonzalez,food,food
890,4,AlwaysSafePowerCompany,volunteer,volunteer
890,1,HoldsJustinCat,quake,tremble
890,15,CandidKlinkBowl61,quake,quake
890,19,BusyLightWilma,quake,earthquake
890,19,BusyLightWilma,power,power
890,8,FleetBreadDora_Merino,quake,earthquake
890,15,HoldsAlvaradoWhale,quake,earthquake
890,3,AttentativeBHouse,quake,shake
890,16,ObnoxiousWBanana1957,quake,wobble
890,2,CandidBowlArmando,quake,tremble
890,19,WileyCarBillie,quake,tremble
891,6,ObnoxiousGarciaBanana50,quake,earthquake
891,6,Rickard39,quake,vibrate
891,12,SmartWBread39,quake,wobble
891,5,SFastThompson,quake,vibrate
891,10,Glover1987,quake,tremble
891,17,VeraFish2009,quake,vibrate
891,2,GuapoCCar1957,quake,tremble
891,5,CandidUzielCouch1967,rescue,fire
891,16,BoredInStMark,quake,earthquake
891,6,Rebecca2008,quake,shake
892,8,DarkStellaCar,quake,quake
892,3,BlankCat2006,quake,earthquake
892,15,CleverIcecreamPatricia,quake,earthquake
892,15,CleverIcecreamPatricia,quake,earthquake
892,9,Burnside71,quake,tremble
892,9,ObnoxiousMelvilleCouch,quake,wobble
892,6,ObnoxiousEBanana2004,quake,shudder
892,6,Andrea_RaglandBear1960,quake,earthquake
892,11,AttentativeFrancisBread2011,quake,tremble
893,1,WileySHouse,quake,earthquake
893,10,Melissa15,quake,earthquake
893,9,WatchesLarkinBear,quake,wobble
893,1,RacesDouglas_LipseyWhale,quake,shudder
893,12,TallLightMaria,quake,wobble
893,5,JohnBear1987,quake,shudder
893,2,CleverGranthamIcecream,quake,quake
893,3,RunsSharon_CrossOctopus,quake,shudder
893,11,CuriousBreadJeremy_Behr,quake,quiver
893,17,DarkWHouse,quake,shake
893,14,Parr1953,quake,quake
893,16,CleverMHouse,quake,shake
893,11,FamousCandyRussell,quake,earthquake
894,11,LovesPhillipsBird,quake,shake
894,18,SallyBusyP,quake,shudder
894,6,LovesCarolBear,quake,quiver
894,12,BusyCIcecream40,volunteer,volunteer
894,6,HoldsBowmanHorse,quake,earthquake
894,6,HoldsBowmanHorse,quake,earthquake
894,18,FuriousMCandy1965,quake,earthquake
894,9,Joseph2014Ratliff,quake,wobble
895,9,FearsVeronicaBear,quake,shake
895,19,WatchAmbroseLearn,quake,tremble
895,8,Robert13,quake,quake
895,10,CandidLindaBread,quake,earthquake
895,1,FearsRossBird,quake,quiver
895,15,WatchesDelgadoWhale,quake,quiver
895,9,WileyRLight29,quake,quake
895,1,FearsBenjaminMouse,power,power
895,6,DarkJasonBread,quake,quake
895,15,RacesMichael_ReesBear,quake,earthquake
895,15,FuriousCasperCouch,quake,wobble
895,10,FastBowlMoore,quake,quake
895,16,WileyGaitherBanana,quake,wobble
895,17,FuriousCarBertha,quake,quake
896,11,Ruth1956Washington,quake,earthquake
896,11,Ruth1956Washington,quake,earthquake
896,10,Bruce_AppelHorse82,quake,quake
896,3,Bryan_Brown1993,quake,quake
896,11,JeffryFish1959,quake,shake
896,15,RogerHorse1955,quake,tremble
896,16,CuriousBananaWilliam_Youngman,quake,vibrate
896,5,CleverCouchKimberly,quake,earthquake
897,11,Jane_ReeseHorse21,food,food
897,16,CuriousSBread,quake,vibrate
897,15,M51Richardson,quake,earthquake
897,1,DarkHeatherLight,volunteer,volunteer
897,6,AttentativeIcecreamOrchard,quake,tremble
897,11,FamousSBowl,quake,tremble
897,9,FuriousCouchTabitha_Bell,power,power
897,3,M2000Couley,quake,earthquake
897,8,AttentativeCouchSergio_Gage,quake,earthquake
897,3,CleverPBanana,quake,vibrate
898,5,Nicole_SmithBear88,quake,earthquake
898,9,Yesenia_Haley1991,quake,vibrate
898,1,PWileyHall,quake,quake
898,6,FastECar,quake,shake
898,6,AttentativePBread32,quake,earthquake
898,15,FastCouchAmy_Romanowski,quake,tremble
898,5,LisaFleetSherman,quake,earthquake
899,6,TFuriousP,quake,earthquake
899,6,TFuriousP,power,power
899,3,Denise37Brown,quake,shake
899,19,WatsonDog3,quake,earthquake
899,10,Raymond_ZhouLion1952,quake,shudder
900,16,LovesShavonne_HowardFish,quake,tremble
900,1,ClarenceDog2017,quake,earthquake
900,5,GuapoKCouch,quake,tremble
900,1,Myron_AlvarezCat77,quake,earthquake
900,15,FuriousHowesHouse1972,quake,earthquake
900,15,Robert2017,quake,earthquake
901,13,FearsTheodoreLion,quake,earthquake
901,9,WileyRLight29,quake,shake
901,4,FuriousCBanana87,quake,earthquake
901,9,FamousBroadwayLight,quake,earthquake
901,9,FamousBroadwayLight,quake,earthquake
901,12,CuriousBBanana1952,quake,quake
901,18,AttentativeWeyrickIcecream79,food,food
902,6,CandidIcecreamHeidi_Muir,quake,earthquake
902,11,ObnoxiousGCouch,power,power
902,5,RCuriousRiley,quake,earthquake
902,11,BillyHorse91,quake,tremble
902,10,WileyTheodoraIcecream,quake,earthquake
902,10,WileyTheodoraIcecream,power,power
903,1,BusyLedbetterCouch90,quake,earthquake
903,5,ObnoxiousLCandy,quake,earthquake
903,13,ObnoxiousArthurCar,quake,earthquake
903,13,ObnoxiousArthurCar,quake,earthquake
903,4,Manuel_Santini1979,quake,earthquake
903,4,Manuel_Santini1979,quake,shake
903,8,FastJoseLight,food,food
903,18,LazyCharlesBowl,volunteer,volunteer
903,15,GuapoCouchRuben_Graham,quake,shake
904,1,AlinaDog1974,quake,earthquake
904,2,ObnoxiousMCouch1965,quake,earthquake
904,2,ObnoxiousMCouch1965,quake,shake
904,11,RacesRohrBird,quake,earthquake
904,13,LovesEugeneMouse,volunteer,volunteer
904,2,Brad_Swindler67,quake,earthquake
904,2,Brad_Swindler67,power,power
904,3,BlankCat2006,power,power
905,9,FleetPecoraBread2010,transport,road
905,15,FleetLightMichael,quake,earthquake
905,5,RacesPertsovskyCat,quake,earthquake
905,5,RacesPertsovskyCat,quake,earthquake
905,1,CuriousIcecreamDouglas,quake,tremble
905,18,MableFastLogan,volunteer,volunteer
906,19,DixonWhale31,quake,earthquake
906,19,DixonWhale31,quake,shake
906,18,DarkCocoCouch1950,quake,earthquake
906,10,ObnoxiousCandyMiller,quake,earthquake
906,6,Maultsby79,food,food
906,11,Helen_NewburyBear64,quake,earthquake
906,11,Helen_NewburyBear64,quake,earthquake
907,6,LBusyFunkhouser,quake,earthquake
907,13,TallThompsonCouch,quake,wobble
907,6,TallEvelynCandy,volunteer,volunteer
907,8,HawleyFish1991,quake,earthquake
907,16,RacesCraigCat,quake,earthquake
907,16,RacesCraigCat,quake,earthquake
907,5,CharlesFamousWhite,water,water
908,14,Austin56,food,food
908,14,Austin56,food,food
908,3,AttentativePlateAlysia_Silva,quake,earthquake
908,5,Laura60Perkins,quake,earthquake
908,3,HoldsJohnsonMouse,quake,earthquake
908,19,WileyPalaciosCar,quake,tremble
909,11,CleverShannonCouch,volunteer,volunteer
909,6,ObnoxiousSHouse,quake,tremble
909,6,CandidBowlPatricia,quake,earthquake
910,10,ObnoxiousKellyCouch5,food,food
910,2,ClydeDarkS,quake,tremble
910,15,FuriousCarWiley,quake,earthquake
910,19,John_Rogers30,quake,earthquake
910,19,John_Rogers30,quake,shake
911,6,Crystal_SantosOctopus79,power,power
911,5,CleverMaconIcecream2018,quake,earthquake
911,5,CleverMaconIcecream2018,quake,earthquake
911,5,FastTCar,quake,earthquake
912,9,Stromme1972,quake,earthquake
912,15,CandidKlinkBowl61,volunteer,volunteer
912,13,TallBowlHenry,power,power
912,5,WileyHollinHouse1969,quake,earthquake
912,5,WileyHollinHouse1969,quake,shake
913,11,WarrenOctopus17,food,food
913,5,FastCrumpBowl2000,quake,earthquake
913,13,DarkRCouch,quake,earthquake
914,8,G2015Howland,quake,earthquake
914,3,SmartPlateWoody,quake,earthquake
914,6,FamousCarStephen_Mccall,quake,earthquake
914,8,RunsBrian_ThibodeauxBear,volunteer,volunteer
915,9,Denise_DeenFish28,power,power
915,1,Ernest_Nordenstrom29,quake,earthquake
915,1,Ernest_Nordenstrom29,quake,earthquake
916,1,LazyHLight40,nuclear,nuclear
916,10,Lillie_West1989,food,food
916,10,Lillie_West1989,food,food
916,11,SmartHCouch,quake,earthquake
916,11,SmartHCouch,quake,shake
917,11,BusyGraceCar,quake,earthquake
917,11,BusyGraceCar,quake,shake
917,5,FamousCouchShirley,quake,earthquake
917,3,WatchesAnnaBear,quake,earthquake
917,3,WatchesAnnaBear,quake,earthquake
918,10,GuapoCandyMay,quake,earthquake
918,10,GuapoCandyMay,quake,shake
918,2,ObnoxiousMCouch1965,food,food
918,9,CandidFCouch,quake,earthquake
918,9,CandidFCouch,quake,earthquake
919,17,TallWayneIcecream,quake,earthquake
919,17,TallWayneIcecream,quake,shake
919,6,WatchesKimberly_OdomLion,quake,earthquake
920,15,CleverCandyBarbara_Nye,quake,earthquake
920,15,CleverCandyBarbara_Nye,quake,shake
922,15,Alice_Deleon66,food,food
922,15,Alice_Deleon66,food,food
922,15,JAttentativeS,quake,tremble
922,1,FamousBowlPatricia,quake,earthquake
923,18,Stancil6,quake,earthquake
923,16,SmartBPlate1993,food,food
923,16,SmartBPlate1993,food,food
923,11,JoeCuriousR,food,food
924,16,David1981,quake,earthquake
924,16,David1981,quake,shake
924,13,MCuriousM,food,food
924,13,MCuriousM,food,food
924,16,CaldwellLion1958,food,food
924,1,SheltonBear1968,quake,earthquake
924,8,WatchesCeaMouse,quake,earthquake
925,3,BennettBear2017,quake,earthquake
925,19,WileyCooperBread23,food,food
925,19,WileyCooperBread23,food,food
925,15,BeverlySmartC,quake,tremble
925,6,GuapoBCouch,quake,earthquake
926,2,Robert_Miller33,food,food
926,2,Robert_Miller33,food,food
926,8,M34Rahmani,quake,earthquake
927,13,ObnoxiousLCar,quake,earthquake
927,3,ObnoxiousJimmyCouch,food,food
927,3,ObnoxiousJimmyCouch,food,food
928,5,SonjaBear2015,food,food
928,5,SonjaBear2015,food,food
928,19,TallMCouch,medical,die
928,15,SmartFCar,volunteer,volunteer
928,8,FastObletonCar,quake,earthquake
929,6,WileyMCar,quake,earthquake
929,16,AttentativeMartinLight,food,food
929,16,AttentativeMartinLight,food,food
933,16,WileyCCar,food,food
933,16,WileyCCar,food,food
933,17,RunsKeithleyFish,quake,earthquake
934,16,SharonMouse55,food,food
934,16,SharonMouse55,food,food
935,15,ObnoxiousHBanana2002,food,food
935,15,ObnoxiousHBanana2002,food,food
937,15,WilliamBusyStgermain,food,food
937,15,WilliamBusyStgermain,food,food
937,12,DarkICouch,nuclear,nuclear
937,12,DarkICouch,power,power
937,12,DarkICouch,power,power
938,16,FleetCarterLight1986,water,water
938,17,T1969Raney,food,food
938,17,T1969Raney,food,food
939,10,CedricCleverWoodie,food,food
939,10,CedricCleverWoodie,food,food
939,9,WatchesSal_GuillenDog,water,water
940,11,HFamousHutcherson,quake,vibrate
942,12,FearsDouthittHorse,power,power
942,12,J1964Sump,food,food
942,12,J1964Sump,food,food
943,15,Alice_Deleon66,food,food
943,15,Alice_Deleon66,food,food
944,15,DFamousLamke,quake,earthquake
944,8,PeterLovesCrystals54,food,food
944,8,PeterLovesCrystals54,food,food
945,18,FastLBowl,food,food
945,18,FastLBowl,food,food
948,15,FastFBread85,food,food
948,15,FastFBread85,food,food
949,6,LovesWilsonHorse,water,water
950,16,Jason_AhoBear80,water,water
950,3,Claude_Bonita42,food,food
950,3,Claude_Bonita42,food,food
951,6,AmyBird1953,food,food
951,6,AmyBird1953,food,food
952,8,Robert13,quake,disaster
953,5,BusyNCar,water,water
953,15,EssieFastThomas,medical,death
954,15,Robert2017,power,power
955,8,LazyMancusoCandy,power,power
956,13,AFuriousGutierrez,food,food
956,13,AFuriousGutierrez,food,food
956,8,BusyHCouch2001,power,power
958,3,Foster1995,quake,quake
959,5,JudyLion21,water,water
962,5,WatchesSharonLion,power,power
963,13,DarkPhillipBowl,food,food
963,11,SmartWCar95,food,food
963,11,SmartWCar95,food,food
964,4,SmartTaylorCandy,food,food
964,4,SmartTaylorCandy,food,food
965,15,Christine23,food,food
965,15,Christine23,food,food
967,11,Adell2011Davis,medical,die
968,15,AnnetteMouse1955,water,water
969,15,Shannon_Black1953,water,water
970,15,RacesLorenaOctopus,water,water
971,15,Sarah_Cloutier20,water,water
971,13,Jackson17,quake,quake
976,16,Christopher_BednarczykDog53,food,food
976,16,Christopher_BednarczykDog53,food,food
976,5,ObnoxiousLCandy,volunteer,crew
978,19,CleverPlateSteinke,quake,quake
978,9,NicholeBird1997,food,food
983,3,Shirley_LancasterBird34,water,water
985,13,LazyBCandy35,quake,quake
986,9,IreneBird97,quake,quake
987,6,SmartMCandy,water,water
987,15,GuapoVBread11,nuclear,nuclear
991,16,MilesBear56,water,water
991,10,G2010Hillard,quake,quake
996,19,FuriousJoshuaPlate,quake,quake
997,12,FleetEastLight,food,food
1000,5,AttentativeBreadWendy,nuclear,nuclear
1000,6,GibsonOctopus28,water,water
1003,6,Wagner2017,quake,quake
1003,6,CandidTBowl,food,food
1004,13,WileyElliottPlate,quake,quake
1004,3,FastHBanana46,nuclear,radiation
1004,9,SmartGCar,quake,quake
1005,8,Gerry_Wright1974,quake,quake
1006,11,FearsKenneth_BarnettOctopus,quake,quake
1006,15,WileyBLight,water,water
1006,11,ObnoxiousAndrewBanana,nuclear,nuclear
1007,10,HoldsJonathan_IacobelliDog,quake,quake
1008,11,WarrenOctopus17,water,water
1009,16,HoldsCarolynFish,nuclear,nuclear
1011,17,LovesDavidDog,nuclear,nuclear
1011,19,WilliamLion68,food,food
1012,9,RunsDawn_ConnerCat,nuclear,nuclear
1012,11,Ruth1956Washington,quake,quake
1015,9,FastHLight,nuclear,nuclear
1016,11,TallGarciaBowl91,nuclear,nuclear
1016,6,FamousWatsonIcecream,quake,quake
1017,8,WatchesSusanOctopus,nuclear,nuclear
1017,8,WatchesSusanOctopus,power,power
1017,8,G2015Howland,nuclear,nuclear
1018,8,FFuriousF,quake,earthquake
1021,6,John_Allison89,nuclear,nuclear
1022,16,Franklin4,nuclear,nuclear
1023,12,DarkHBanana,nuclear,nuclear
1024,11,MyersBear1978,nuclear,nuclear
1024,11,MyersBear1978,power,power
1025,18,ObnoxiousWLight1956,nuclear,nuclear
1027,16,CuriousLightRosa_Shaw,nuclear,nuclear
1031,15,A98Chavarria,quake,quake
1037,10,JohnLazyL,nuclear,nuclear
1037,10,JohnLazyL,power,power
1037,10,JohnLazyL,nuclear,nuclear
1037,10,JohnLazyL,power,power
1039,12,LBusyPatterson,food,food
1041,17,DarkNLight,nuclear,nuclear
1044,13,LazyGambleCar1972,nuclear,nuclear
1046,15,Ryan2011,food,food
1050,15,Daniel1971,quake,earthquake
1050,16,Eugene2008Talbott,nuclear,nuclear
1050,16,Eugene2008Talbott,power,power
1059,6,ShirleyDog68,medical,die
1066,15,JosephMouse2008,food,food
1072,6,FuriousBowlVargas,food,food
1073,3,BowdenMouse1992,nuclear,nuclear
1073,3,BowdenMouse1992,nuclear,nuclear
1073,3,BowdenMouse1992,power,power
1073,3,BowdenMouse1992,water,water
1081,14,CuriousELight,food,food
1084,16,SmartLCouch1950,food,food
1085,11,JeffryFish1959,food,food
1086,15,BerrierHorse80,food,food
1088,11,ThomasBird37,food,food
